genres,movie_title,original_language,popularity,production_countries,release_date,spoken_languages,vote_average,vote_count,year_released
"[""Drama""]",Servants,sk,1.129,"[""Czech Republic"",""Ireland"",""Romania"",""Slovakia""]",2020-11-12,"[""Slovenčina""]",6.4,5.0,2020.0
"[""Thriller"",""Drama""]",Wildflower,en,25.54,"[""United States of America""]",2016-02-05,"[""English""]",5.3,24.0,2016.0
"[""Comedy"",""Mystery""]",The Weasel's Tale,es,5.879,"[""Argentina"",""Spain""]",2019-05-16,"[""Español""]",7.9,82.0,2019.0
"[""Documentary""]",Black Mother,en,3.374,"[""Jamaica"",""United States of America""]",2018-11-02,"[""English""]",6.7,13.0,2018.0
"[""Documentary""]",The Reason I Jump,en,2.663,"[""United States of America"",""United Kingdom""]",2020-01-23,"[""English""]",8.3,4.0,2020.0
"[""Fantasy"",""Horror"",""Music""]",Good Manners,pt,6.2,"[""Brazil"",""France""]",2017-08-04,"[""Português""]",6.6,149.0,2017.0
"[""Documentary"",""History""]",Bisbee '17,en,2.972,"[""United States of America""]",2018-09-05,"[""Español"",""English""]",7.1,15.0,2018.0
"[""Drama""]",On the Seventh Day,es,3.34,"[""United States of America""]",2018-06-08,"[""English"",""Español""]",6.8,6.0,2017.0
"[""Drama"",""Fantasy"",""Romance"",""Horror""]",November,et,4.294,"[""Estonia"",""Poland"",""Netherlands""]",2017-02-03,"[""Eesti"",""Deutsch"",""Italiano""]",7.6,89.0,2017.0
"[""Documentary""]",Peter and the Farm,en,2.877,"[""United States of America""]",2016-11-04,"[""English""]",7.3,13.0,2016.0
"[""Romance"",""Comedy""]",Chhichhore,hi,6.083,"[""India""]",2019-09-05,"[""English"",""हिन्दी""]",7.8,74.0,2019.0
"[""History"",""Documentary""]",Twenty Two,zh,0.92,"[""China""]",2017-08-14,"[""한국어/조선말"",""普通话"",""日本語""]",7.0,8.0,2017.0
"[""Action"",""Drama"",""History""]",A Taxi Driver,ko,13.743,"[""South Korea""]",2017-08-02,"[""한국어/조선말"",""日本語"",""English"",""Deutsch""]",8.2,574.0,2017.0
"[""Animation"",""Action"",""Fantasy"",""Adventure""]",My Hero Academia: Heroes Rising,ja,303.072,"[""Japan""]",2019-12-20,"[""日本語""]",8.5,817.0,2019.0
"[""Mystery"",""Drama"",""Thriller""]",Burning,ko,13.75,"[""South Korea""]",2018-05-17,"[""English"",""한국어/조선말""]",7.4,1037.0,2018.0
"[""Action"",""Comedy"",""Crime""]",Enter the Fat Dragon,cn,7.816,"[""Hong Kong"",""China""]",2020-01-23,"[""English"",""广州话 / 廣州話"",""日本語""]",6.2,74.0,2020.0
"[""Drama""]",Custody,en,4.952,"[""United States of America""]",2016-04-17,"[""English""]",7.3,38.0,2016.0
"[""Documentary""]",5B,en,2.781,"[""United States of America""]",2018-11-04,"[""English""]",6.9,7.0,2018.0
"[""Drama""]",King Jack,en,5.035,"[""United States of America""]",2015-04-01,"[""English""]",6.6,75.0,2015.0
"[""Documentary""]",Abacus: Small Enough to Jail,en,4.131,"[""United States of America""]",2017-01-06,"[""English""]",7.0,56.0,2016.0
"[""Action"",""Adventure"",""Science Fiction""]",Black Widow,en,594.754,"[""United States of America""]",2021-07-07,"[""English"",""Pусский""]",7.6,5879.0,2021.0
"[""Mystery"",""Western"",""Thriller""]",Bacurau,pt,10.72,"[""Brazil"",""France""]",2019-08-29,"[""English"",""Português""]",7.9,779.0,2019.0
"[""Drama"",""Thriller"",""Fantasy""]",The Burial of Kojo,ak,3.523,"[""Ghana"",""United States of America""]",2018-11-02,"["""",""English""]",6.8,19.0,2018.0
"[""Documentary""]",The Great Buster: A Celebration,en,3.98,"[""United States of America""]",2018-10-05,"[""English""]",7.1,23.0,2018.0
"[""Drama"",""Comedy""]",Dying to Survive,zh,5.12,"[""China""]",2018-07-06,"[""普通话""]",8.1,69.0,2018.0
"[""Thriller"",""Action"",""Science Fiction""]",Division 19,en,2.769,"[""United States of America"",""United Kingdom""]",2017-02-24,"[""English""]",5.0,2.0,2017.0
"[""Drama""]",Styx,de,3.843,"[""Austria"",""Germany""]",2018-09-13,"[""Deutsch"",""English""]",6.3,60.0,2018.0
"[""Drama""]",Burden,en,4.823,"[""United States of America""]",2020-02-28,"[""English""]",6.0,33.0,2018.0
"[""Thriller"",""Crime"",""Documentary""]",Welcome to Leith,en,4.723,"[""United States of America""]",2015-09-09,"[""English""]",6.6,60.0,2015.0
"[""Documentary""]",In Jackson Heights,en,3.174,"[""United States of America""]",2015-09-04,"[""العربية"",""Español"",""हिन्दी"",""English""]",6.8,14.0,2015.0
"[""Drama"",""Mystery"",""Thriller""]","No Date, No Signature",fa,4.983,"[""Iran""]",2017-08-01,"[""فارسی""]",6.9,84.0,2017.0
"[""Western"",""Drama""]",The Rider,en,12.409,"[""United States of America""]",2018-03-21,"[""English""]",7.3,339.0,2017.0
"[""Drama""]",Memoria,en,2.738,"[""United States of America""]",2016-04-08,"[""English""]",5.1,18.0,2016.0
"[""Drama""]",Pain and Glory,es,12.56,"[""Spain""]",2019-03-22,"[""Español""]",7.5,1362.0,2019.0
"[""Drama""]",Beautifully Broken,en,2.144,"[""United States of America""]",2018-08-24,"[""English""]",5.3,3.0,2018.0
"[""Documentary""]",We Are As Gods,en,2.4,"[""United States of America""]",2020-03-23,"[""English""]",9.0,1.0,2020.0
"[""Documentary"",""TV Movie""]",Fyre,en,9.724,"[""United States of America""]",2019-01-18,"[""English""]",6.9,728.0,2019.0
"[""Drama""]",From Nowhere,en,1.985,"[""United States of America""]",2017-02-17,"[""English""]",5.5,6.0,2016.0
"[""Action"",""Science Fiction"",""Animation""]",Dragon Ball Super: Broly,ja,64.119,"[""Japan"",""United States of America""]",2018-12-14,"[""日本語""]",7.8,2091.0,2018.0
"[""Drama"",""Romance""]",The Diary of a Teenage Girl,en,12.863,"[""United States of America""]",2015-08-07,"[""English"",""Türkçe""]",6.6,593.0,2015.0
"[""Drama""]",Outside In,en,6.404,"[""United States of America""]",2018-03-30,"[""English""]",6.3,62.0,2017.0
"[""Drama""]",After Love,en,5.206,"[""France"",""United Kingdom""]",2021-09-29,"[""العربية"",""Français"",""English"",""اردو""]",8.1,14.0,2020.0
"[""Drama""]",Teacher,en,5.53,"[""United States of America""]",2019-08-13,"[""English""]",6.9,22.0,2019.0
"[""Animation"",""Drama"",""Family""]",My Life as a Zucchini,fr,12.21,"[""France"",""Switzerland""]",2016-10-12,"[""Français""]",7.8,977.0,2016.0
"[""Drama"",""War"",""Romance""]",Moffie,af,3.909,"[""South Africa"",""United Kingdom""]",2020-03-13,"[""Afrikaans"",""English""]",7.3,44.0,2019.0
"[""Drama""]",Alanis,es,23.012,"[""Argentina""]",2017-09-09,"[""Español""]",6.3,31.0,2017.0
"[""Comedy"",""Fantasy"",""Romance""]",The Mermaid,zh,46.77,"[""China""]",2016-02-08,"[""普通话""]",6.4,240.0,2016.0
"[""Thriller"",""Horror""]",The Hunting Ground,ru,0.626,"[""Russia""]",2015-05-20,"[""Pусский""]",9.0,1.0,2015.0
"[""Drama""]",Creed,en,52.87,"[""United States of America""]",2015-11-25,"[""English""]",7.4,5665.0,2015.0
"[""Drama"",""Thriller""]",Little Woods,en,6.179,"[""United States of America""]",2019-04-19,"[""English""]",6.0,42.0,2018.0
"[""Documentary""]",1982,es,1.075,"[""Argentina""]",2019-11-12,"[""English"",""Español""]",8.2,13.0,2019.0
"[""Action"",""Adventure"",""Science Fiction""]",Black Panther,en,102.447,"[""United States of America""]",2018-02-13,"[""English"",""한국어/조선말"",""Kiswahili"",""""]",7.4,18134.0,2018.0
"[""Documentary""]",David Lynch: The Art Life,en,8.464,"[""United States of America""]",2017-02-15,"[""English""]",7.0,137.0,2016.0
"[""Drama""]",In the Last Days of the City,ar,0.852,"[""Egypt"",""United Arab Emirates"",""United Kingdom"",""Germany""]",2017-09-07,"[""العربية""]",6.3,6.0,2016.0
"[""Drama""]",We the Animals,en,6.14,"[""United States of America""]",2018-08-17,"[""English""]",6.5,105.0,2018.0
"[""Documentary""]",Ingrid Bergman: In Her Own Words,sv,3.386,"[""Sweden""]",2015-05-19,"[""svenska"",""English""]",7.5,46.0,2015.0
"[""Drama""]",Meadowland,en,6.561,"[""United States of America""]",2015-10-16,"[""English""]",5.9,91.0,2015.0
"[""Drama"",""War""]",Beasts of No Nation,en,15.827,"[""Ghana"",""United States of America""]",2015-09-11,"[""English""]",7.6,1335.0,2015.0
"[""Drama""]",The Girl in the Book,en,4.715,"[""United States of America""]",2015-06-13,"[""English""]",5.9,125.0,2015.0
"[""Thriller"",""Drama""]",Hope,es,0.6,"[""Spain""]",2015-08-18,"[""Español""]",9.0,1.0,2015.0
"[""Drama""]",Night of the Kings,fr,4.142,"[""Canada"",""Cote D'Ivoire"",""France""]",2021-02-26,"[""Français""]",7.1,34.0,2020.0
"[""Comedy"",""Drama""]",Eighth Grade,en,15.222,"[""United States of America""]",2018-01-19,"[""English""]",7.2,1105.0,2018.0
"[""Drama"",""Thriller""]",Revenge,no,2.519,"[""Canada"",""Norway""]",2015-11-06,"[""Norsk""]",5.4,15.0,2015.0
"[""Drama"",""Romance""]",Phantom Thread,en,17.592,"[""United States of America"",""United Kingdom""]",2017-12-25,"[""English"",""Français""]",7.3,2721.0,2017.0
"[""Drama""]",Unplanned,en,9.65,"[""United States of America""]",2019-03-21,"[""English""]",7.2,162.0,2019.0
"[""Drama""]",Columbus,en,10.035,"[""United States of America""]",2017-08-04,"[""English"",""한국어/조선말""]",7.0,243.0,2017.0
"[""Drama""]",Longing,en,0.6,"[""Netherlands""]",2016-06-15,"[""Nederlands""]",0.0,0.0,2016.0
"[""Drama""]",Kuessipan,fr,3.032,"[""Canada""]",2019-10-04,"["""",""Français""]",6.5,16.0,2019.0
"[""Documentary""]",Nasrin,en,2.749,"[""Iran"",""United States of America""]",2020-10-01,"[""English"",""فارسی""]",10.0,1.0,2020.0
"[""Documentary""]",For the Birds,en,1.911,"[""United States of America""]",2018-06-10,"[""English""]",6.3,4.0,2018.0
"[""Drama"",""History""]",The Innocents,fr,11.415,"[""Poland"",""France""]",2016-02-10,"[""Français"",""Polski""]",7.1,312.0,2016.0
"[""Drama"",""Thriller"",""Mystery"",""Crime""]",Beast,en,8.647,"[""United Kingdom""]",2018-04-18,"[""English""]",6.7,190.0,2017.0
"[""Animation"",""Fantasy"",""Adventure""]",Ne Zha,zh,21.043,"[""China""]",2019-07-26,"[""普通话""]",8.0,236.0,2019.0
"[""Thriller"",""Crime"",""Action"",""Drama""]",Saving Mr. Wu,zh,4.817,"[""China""]",2015-09-30,"[""普通话""]",6.2,68.0,2015.0
"[""Drama""]",Things to Come,fr,6.65,"[""Germany"",""France""]",2016-04-06,"[""Deutsch"",""English"",""Français""]",6.5,238.0,2016.0
"[""Animation"",""History"",""Comedy"",""Drama"",""Mystery""]",This Magnificent Cake!,fr,1.07,"[""Belgium"",""France"",""Netherlands""]",2018-12-20,"[""Français"",""Nederlands""]",6.4,26.0,2018.0
"[""Documentary""]",Dawson City: Frozen Time,en,4.801,"[""United States of America""]",2017-06-09,"[""English""]",7.3,42.0,2016.0
"[""Family"",""Fantasy"",""Adventure""]",Maleficent: Mistress of Evil,en,97.089,"[""United States of America""]",2019-10-16,"[""English""]",7.4,4736.0,2019.0
"[""Documentary""]",A Skin So Soft,fr,1.296,"[""France"",""Canada"",""Switzerland""]",2018-03-15,"[""Français""]",6.3,10.0,2017.0
"[""Fantasy"",""Music"",""Drama"",""Romance""]",Aquarius,en,0.6,"[""Russia""]",2016-11-27,"[""English""]",0.0,0.0,2016.0
"[""Documentary""]",Belly of the Beast,en,2.944,"[""United States of America""]",2020-06-11,"[""English""]",6.0,1.0,2020.0
"[""Comedy"",""Drama""]",The Disaster Artist,en,14.267,"[""United States of America""]",2017-03-12,"[""English""]",7.1,2913.0,2017.0
"[""Animation"",""Drama"",""Romance""]",Arrival,en,1.218,"[""United States of America""]",2016-05-25,"[""No Language""]",6.0,4.0,2016.0
"[""Drama""]",Father,sr,3.547,"[""Bosnia and Herzegovina"",""Croatia"",""France"",""Germany"",""Serbia"",""Slovenia""]",2020-12-03,"[""Srpski""]",8.2,9.0,2020.0
"[""Documentary""]",Pavarotti,en,7.828,"[""United Kingdom"",""United States of America""]",2019-06-04,"[""English"",""Italiano""]",7.5,52.0,2019.0
"[""Drama"",""Action"",""History""]",Ford v Ferrari,en,47.715,"[""United States of America""]",2019-11-13,"[""Français"",""日本語"",""Italiano"",""English""]",8.0,5194.0,2019.0
"[""Action"",""Drama"",""Thriller""]",The Age of Shadows,ko,9.192,"[""South Korea""]",2016-09-07,"[""English"",""普通话"",""한국어/조선말"",""日本語""]",7.3,229.0,2016.0
"[""Horror"",""Music""]",Alleluia! The Devil's Carnival,en,4.464,"[""United States of America""]",2016-03-29,"[""English""]",6.3,18.0,2016.0
"[""Documentary""]",Miss Kiet's Children,nl,0.6,"[""Netherlands""]",2016-11-24,"[""Nederlands""]",7.4,5.0,2016.0
"[""Drama""]",The Wild Pear Tree,tr,10.179,"[""Germany"",""Bosnia and Herzegovina"",""Bulgaria"",""France"",""Sweden"",""Macedonia"",""Turkey""]",2018-08-08,"[""Türkçe""]",7.6,165.0,2018.0
"[""Drama""]",Jersey,te,2.688,"[""India""]",2019-04-19,"[""తెలుగు""]",7.9,31.0,2019.0
"[""Drama"",""War""]",Swing Kids,ko,4.739,"[""South Korea""]",2018-12-14,"[""English"",""普通话"",""한국어/조선말""]",8.4,50.0,2018.0
"[""Horror"",""Science Fiction"",""Drama""]",The Long Walk,lo,1.226,"[""Lao People's Democratic Republic""]",2019-09-04,"[""""]",7.0,3.0,2019.0
"[""War"",""Drama"",""History""]",The Captain,de,15.975,"[""Germany"",""France"",""Poland""]",2017-09-21,"[""Deutsch""]",7.1,284.0,2017.0
"[""War"",""Drama""]",Journey's End,en,11.61,"[""United Kingdom""]",2017-12-14,"[""Español""]",6.2,196.0,2017.0
"[""Animation"",""Action"",""Science Fiction""]",Promare,ja,24.869,"[""Japan""]",2019-05-24,"[""日本語""]",7.3,152.0,2019.0
"[""Documentary""]",Bill Nye: Science Guy,en,3.462,"[""United States of America""]",2017-04-10,"[""English""]",6.1,27.0,2017.0
"[""Documentary"",""Family""]",Penguins,en,4.225,"[""Australia""]",2019-04-17,"[""English""]",7.0,24.0,2019.0
"[""Documentary""]",Fire at Sea,it,6.595,"[""France"",""Italy""]",2016-02-18,"[""English"",""Italiano""]",6.7,205.0,2016.0
"[""Documentary""]",Bluebird,en,3.236,"[""United States of America""]",2019-03-14,"[""English""]",6.0,4.0,2019.0
"[""Documentary""]",Monkey Kingdom,en,10.999,"[""United States of America""]",2015-04-16,"[""English""]",6.9,103.0,2015.0
"[""Drama""]",Night Comes On,en,5.141,"[""United States of America""]",2018-08-03,"[""English""]",6.1,22.0,2018.0
"[""Drama"",""Thriller"",""Crime""]",Limbo,de,1.091,"[""Germany""]",2020-02-20,"[""Deutsch""]",4.0,6.0,2019.0
"[""Documentary""]",Boys State,en,9.359,"[""United States of America""]",2020-01-23,"[""English""]",7.3,58.0,2020.0
"[""Drama"",""Comedy"",""Romance""]",Sublet,he,2.581,"[""Israel"",""United States of America""]",2020-04-15,"[""English"",""עִבְרִית""]",8.1,9.0,2020.0
"[""Action"",""Adventure"",""Science Fiction""]",Spider-Man: No Way Home,en,569.289,"[""United States of America""]",2021-12-15,"[""English"",""Español""]",0.0,0.0,2021.0
"[""Documentary""]",Richard Linklater: Dream Is Destiny,en,4.882,"[""United States of America""]",2016-08-05,"[""English""]",7.1,15.0,2016.0
"[""Horror"",""Comedy"",""Drama"",""Thriller"",""Fantasy""]",Prevenge,en,5.7,"[""United Kingdom""]",2017-02-10,"[""English""]",5.6,168.0,2016.0
"[""Drama""]",After the Storm,ja,8.938,"[""Japan""]",2016-05-21,"[""日本語""]",7.3,213.0,2016.0
"[""Animation"",""Documentary"",""Drama""]",Egg,en,0.6,"[""Denmark"",""France""]",2018-06-10,"[""English""]",5.8,6.0,2018.0
"[""Action"",""Adventure"",""Comedy"",""Science Fiction""]",Turbo Kid,en,8.539,"[""New Zealand"",""Canada""]",2015-08-14,"[""English""]",6.6,541.0,2015.0
"[""Romance"",""Comedy"",""Drama""]",Taxi,de,1.674,"[""Germany""]",2015-08-20,"[""Deutsch""]",5.7,13.0,2015.0
"[""Music"",""Thriller"",""Drama""]",Barracuda,en,5.567,"[""Poland"",""United States of America""]",2017-06-10,"[""English""]",6.4,17.0,2017.0
"[""Science Fiction"",""Horror"",""Thriller""]",The Endless,en,15.028,"[""United States of America""]",2018-04-06,"[""English""]",6.3,710.0,2017.0
"[""Drama""]",Motherland,lt,1.158,"[""Germany"",""Greece"",""Latvia"",""Lithuania""]",2019-09-06,"[""English"",""Pусский"",""Lietuvių""]",6.4,6.0,2019.0
"[""Drama"",""History"",""War""]",Hacksaw Ridge,en,163.301,"[""Australia"",""United States of America""]",2016-10-07,"[""日本語"",""English""]",8.2,10151.0,2016.0
"[""Family"",""Animation"",""Fantasy"",""Music"",""Comedy"",""Adventure""]",Coco,en,393.975,"[""Mexico"",""United States of America""]",2017-10-27,"[""English"",""Español""]",8.2,14784.0,2017.0
"[""Drama"",""Comedy""]",The Teacher,sk,3.679,"[""Czech Republic"",""Slovakia""]",2016-07-21,"[""Pусский"",""Slovenčina""]",7.0,68.0,2016.0
"[""Documentary""]",The Uncondemned,en,0.689,"[""Congo"",""Netherlands"",""Rwanda"",""United States of America""]",2016-10-21,"[""English"",""Français"",""Kinyarwanda""]",7.0,3.0,2016.0
"[""Drama""]",Test Pattern,en,1.937,"[""United States of America""]",2021-02-19,"[""English""]",7.3,4.0,2019.0
"[""Thriller"",""Drama"",""Action""]",Tunnel,ko,9.466,"[""South Korea""]",2016-08-10,"[""한국어/조선말""]",7.3,381.0,2016.0
"[""Comedy"",""Thriller"",""Drama""]",Parasite,ko,75.787,"[""South Korea""]",2019-05-30,"[""English"",""Deutsch"",""한국어/조선말""]",8.5,12461.0,2019.0
"[""Documentary""]",A Thousand Cuts,en,2.983,"[""Philippines"",""United States of America""]",2020-01-23,"[""English"",""""]",8.5,4.0,2020.0
"[""Drama""]",On the Beach at Night Alone,ko,6.688,"[""South Korea""]",2017-03-23,"[""한국어/조선말""]",6.5,87.0,2017.0
"[""Documentary""]",The Donut King,en,3.616,"[""Cambodia"",""United States of America""]",2020-08-24,"[""普通话"",""English""]",7.2,5.0,2020.0
"[""Science Fiction"",""Thriller"",""Drama""]",Lapsis,en,2.391,"[""United States of America""]",2021-02-12,"[""English""]",6.4,19.0,2020.0
"[""Animation"",""Family"",""Adventure"",""Fantasy"",""Comedy""]",The Croods: A New Age,en,287.704,"[""United States of America""]",2020-11-25,"[""English""]",7.6,2625.0,2020.0
"[""Drama"",""Adventure"",""Fantasy""]",The Wild Boys,fr,5.027,"[""France""]",2018-02-28,"[""English"",""Français""]",6.5,104.0,2017.0
"[""Crime"",""Documentary""]",Killing for Love,de,2.526,"[""Sweden"",""Germany"",""United Kingdom"",""Netherlands"",""Denmark""]",2016-10-27,"[""English"",""Deutsch""]",6.5,31.0,2016.0
"[""Drama""]",Limbo,el,0.6,"[""France"",""Greece""]",2016-05-17,"[""ελληνικά""]",6.4,5.0,2016.0
"[""Documentary""]",A Crime on the Bayou,en,1.425,"[""United States of America""]",2021-06-18,"[""English""]",0.0,0.0,2020.0
"[""Drama"",""Crime"",""Thriller""]",Section 375,hi,2.379,"[""India""]",2019-09-13,"[""हिन्दी""]",7.5,39.0,2019.0
"[""Action"",""War"",""History"",""Drama""]",Kingdom,ja,5.429,"[""Japan""]",2019-04-19,"[""日本語""]",7.0,44.0,2019.0
"[""Drama""]",The Banker,en,17.03,"[""United States of America""]",2020-03-06,"[""English""]",7.5,498.0,2020.0
"[""Drama"",""Comedy"",""Music""]",Green Book,en,27.895,"[""United States of America""]",2018-11-16,"[""English"",""Italiano"",""Pусский""]",8.3,8393.0,2018.0
"[""Documentary"",""Music""]",Creem: America's Only Rock 'n' Roll Magazine,en,2.778,"[""United States of America""]",2019-03-14,"[""English""]",7.0,5.0,2019.0
"[""Drama"",""History"",""Thriller""]",Maze,en,6.423,"[""Ireland"",""United Kingdom""]",2017-09-22,"[""English""]",5.9,61.0,2017.0
"[""Action"",""Science Fiction"",""Comedy"",""Family""]",Sonic the Hedgehog,en,130.563,"[""Japan"",""United States of America""]",2020-02-12,"[""English""]",7.4,7245.0,2020.0
"[""Drama"",""Comedy""]",Private Life,en,8.16,"[""United States of America""]",2018-10-05,"[""English""]",7.0,247.0,2018.0
"[""Drama"",""Thriller""]",Mississippi Grind,en,9.479,"[""United States of America""]",2015-07-04,"[""English""]",6.0,346.0,2015.0
"[""Documentary""]",The Russian Five,en,4.019,"[""United States of America""]",2018-04-11,"[""English""]",8.3,16.0,2018.0
"[""Documentary"",""Adventure""]",Free Solo,en,13.958,"[""United States of America""]",2018-09-28,"[""English""]",8.0,916.0,2018.0
"[""Action"",""Adventure""]",Mission: Impossible - Fallout,en,38.781,"[""China"",""United States of America"",""France"",""Norway""]",2018-07-13,"[""English"",""Français""]",7.4,6223.0,2018.0
"[""Documentary""]",Filmworker,en,4.03,"[""United States of America""]",2018-05-11,"[""English""]",7.0,52.0,2017.0
"[""Documentary""]",Requiem for the American Dream,en,7.607,"[""United States of America""]",2015-04-18,"[""English"",""Français""]",7.7,141.0,2015.0
"[""Documentary""]",De Palma,en,7.005,"[""United States of America""]",2016-06-10,"[""English""]",7.3,104.0,2015.0
"[""Documentary""]",The Bad Kids,en,2.808,"[""United States of America""]",2016-01-22,"[""English""]",7.1,21.0,2016.0
"[""Documentary""]",Whose Streets?,en,2.919,"[""United States of America""]",2017-08-11,"[""English""]",5.8,19.0,2017.0
"[""Drama""]",3 Faces,fa,3.917,"[""Iran""]",2018-06-06,"[""Azərbaycan"",""فارسی"",""Türkçe""]",6.6,83.0,2018.0
"[""Drama""]",Time,en,0.6,"[""Serbia""]",2018-06-08,"[""Srpski""]",0.0,0.0,2018.0
"[""Thriller"",""Mystery"",""Drama""]",The Gift,en,11.511,"[""Australia"",""United States of America""]",2015-07-30,"[""English""]",6.7,2562.0,2015.0
"[""Documentary""]",The Penny Black,en,2.586,"[""United States of America""]",2020-01-25,"[""English""]",0.0,0.0,2020.0
"[""Comedy""]",The Unicorn,en,2.737,"[""United States of America""]",2019-02-01,"[""English""]",5.0,24.0,2018.0
"[""Thriller"",""Horror"",""Comedy""]",The Beta Test,en,20.942,"[""United Kingdom"",""United States of America""]",2021-10-15,"[""svenska"",""English""]",5.9,15.0,2021.0
"[""Action"",""Comedy"",""Crime""]",Spy,en,32.823,"[""United States of America""]",2015-05-06,"[""Deutsch"",""English"",""Français"",""Italiano""]",6.8,5076.0,2015.0
"[""Thriller""]",Transpecos,en,4.733,"[""United States of America""]",2016-09-09,"[""Español"",""English""]",5.9,51.0,2016.0
"[""Thriller""]",Furie,fr,7.562,"[""France""]",2019-11-06,"[""Français""]",5.9,73.0,2019.0
"[""Comedy"",""Drama"",""History""]",The Death of Stalin,en,14.642,"[""Belgium"",""France"",""United Kingdom""]",2017-10-20,"[""English""]",7.0,1330.0,2017.0
"[""Drama""]",The Second Mother,pt,8.057,"[""Brazil""]",2015-02-08,"[""Português""]",8.1,563.0,2015.0
"[""Drama""]",The Body Remembers When the World Broke Open,en,3.784,"[""Canada"",""Norway""]",2019-02-10,"[""English""]",7.2,10.0,2019.0
"[""Drama""]",Nomadland,en,30.631,"[""United States of America""]",2021-01-29,"[""English""]",7.3,1777.0,2020.0
"[""Animation"",""Adventure"",""Family""]",Kubo and the Two Strings,en,55.429,"[""Japan"",""United States of America""]",2016-08-18,"[""English""]",7.7,2914.0,2016.0
"[""Comedy"",""Drama""]",Toni Erdmann,de,18.315,"[""Austria"",""Germany""]",2016-07-14,"[""English"",""Deutsch"",""Română""]",7.0,730.0,2016.0
"[""Comedy""]",Days of the Bagnold Summer,en,3.734,"[""United Kingdom""]",2020-08-13,"[""English""]",6.3,27.0,2019.0
"[""Drama""]",Never Rarely Sometimes Always,en,11.506,"[""United Kingdom"",""United States of America""]",2020-03-13,"[""English""]",7.3,306.0,2020.0
"[""Comedy"",""Drama"",""Romance""]",Love & Friendship,en,16.413,"[""United Kingdom"",""United States of America"",""Ireland"",""Netherlands"",""France""]",2016-05-26,"[""English""]",6.1,417.0,2016.0
"[""Documentary""]",Truman & Tennessee: An Intimate Conversation,en,2.501,"[""United States of America""]",2021-06-18,"[""English""]",6.0,1.0,2020.0
"[""Drama"",""Comedy""]",The Personal History of David Copperfield,en,14.979,"[""United Kingdom"",""United States of America""]",2019-11-07,"[""English""]",6.5,304.0,2019.0
"[""Music"",""Documentary""]",What We Started,en,4.586,"[""United States of America""]",2018-03-23,"[""English""]",7.2,25.0,2018.0
"[""Thriller"",""Action"",""Drama""]",Operator,en,6.604,"[""United States of America""]",2015-08-21,"[""English""]",5.1,77.0,2015.0
"[""Documentary""]",Dealt,en,3.581,"[""United States of America""]",2017-10-20,"[""English""]",7.5,24.0,2017.0
"[""Music"",""Documentary"",""History""]",I Called Him Morgan,en,3.98,"[""Sweden"",""United States of America""]",2016-09-05,"[""English""]",7.2,35.0,2016.0
"[""Crime"",""Action"",""Drama""]",21 Bridges,en,22.699,"[""United States of America""]",2019-10-24,"[""English""]",6.8,1396.0,2019.0
"[""Thriller"",""Drama""]",Clash,ar,5.432,"[""Egypt"",""France"",""United Arab Emirates""]",2016-07-27,"[""Deutsch"",""العربية""]",7.4,70.0,2016.0
"[""Drama""]",Miss Juneteenth,en,3.99,"[""United States of America""]",2020-09-25,"[""English""]",6.9,20.0,2020.0
"[""Action"",""Thriller""]",Black and Blue,en,22.954,"[""United States of America""]",2019-10-25,"[""English""]",6.7,570.0,2019.0
"[""Documentary""]",Alone,en,0.6,"[""United States of America""]",2017-01-14,"[""English""]",6.0,3.0,2017.0
"[""Documentary""]",Command and Control,en,3.561,"[""United States of America""]",2016-09-14,"[""Français""]",6.7,26.0,2016.0
"[""Family"",""Animation"",""Adventure"",""Comedy""]",Abominable,en,39.245,"[""China"",""United States of America""]",2019-09-19,"[""English""]",7.6,1522.0,2019.0
"[""Comedy""]",Antiquities,en,3.05,"[""United States of America""]",2019-01-25,"[""English""]",5.3,4.0,2018.0
"[""Animation"",""Adventure"",""Comedy"",""Family"",""Fantasy""]",Penguin Highway,ja,7.294,"[""Japan""]",2018-08-17,"[""日本語""]",7.1,143.0,2018.0
"[""Drama""]",Tikkun,he,1.96,"[""Israel""]",2015-07-10,"[""עִבְרִית"",""""]",6.3,17.0,2015.0
"[""Adventure"",""Action"",""Science Fiction""]",Avengers: Infinity War,en,295.821,"[""United States of America""]",2018-04-25,"[""English"",""""]",8.3,23058.0,2018.0
"[""Drama"",""Romance""]",Words on Bathroom Walls,en,14.736,"[""United States of America""]",2020-08-21,"[""English""]",8.0,354.0,2020.0
"[""Action"",""Comedy"",""Crime"",""Drama""]",Logan Lucky,en,16.484,"[""United States of America""]",2017-08-17,"[""English""]",6.7,2691.0,2017.0
"[""Documentary""]",For the Love of Spock,en,8.213,"[""Canada"",""United States of America""]",2016-09-09,"[""English""]",7.5,121.0,2016.0
"[""Adventure"",""Drama"",""Romance""]",The Aeronauts,en,15.113,"[""United Kingdom"",""United States of America""]",2019-11-04,"[""English""]",6.8,783.0,2019.0
"[""Documentary""]",Miss Sharon Jones!,en,2.605,"[""United States of America""]",2015-09-11,"[""English""]",7.3,12.0,2015.0
"[""Documentary""]","Love, Antosha",en,5.777,"[""United States of America""]",2019-08-02,"[""English"",""Pусский""]",7.0,31.0,2019.0
"[""Drama""]",In Harmony,fr,7.16,"[""France""]",2015-04-15,"[""Français""]",6.1,67.0,2015.0
