genres,movie_title,original_language,popularity,production_countries,release_date,spoken_languages,vote_average,vote_count,year_released
"[""Romance""]",Panga,hi,3.387,"[""India""]",2020-01-24,"[""हिन्दी""]",6.9,19.0,2020.0
"[""Drama""]",Menashe,yi,4.878,"[""United States of America""]",2017-07-28,"[""""]",6.3,43.0,2017.0
"[""Documentary""]",The Hunting Ground,en,7.843,"[""United States of America""]",2015-02-27,"[""English""]",7.4,117.0,2015.0
"[""Drama""]",End of Sentence,en,3.726,"[""United States of America"",""Iceland"",""Ireland""]",2019-09-23,"[""English""]",5.9,28.0,2019.0
"[""Documentary""]",One Child Nation,en,10.383,"[""China"",""United States of America""]",2019-03-29,"[""普通话"",""English"",""Français""]",7.3,106.0,2019.0
"[""Animation"",""Action"",""Adventure"",""Comedy"",""Family""]",Spies in Disguise,en,38.829,"[""United States of America""]",2019-12-04,"[""English""]",7.7,2094.0,2019.0
"[""Documentary""]",Searching for Ingmar Bergman,de,1.229,"[""France"",""Germany""]",2018-07-12,"[""English"",""Français"",""Deutsch"",""Español"",""svenska""]",5.8,10.0,2018.0
"[""Documentary""]",Human Flow,en,5.572,"[""Germany"",""United States of America""]",2017-10-02,"[""Deutsch"",""العربية"","""",""Español"",""Français"",""ελληνικά"",""Magyar"",""English"",""فارسی"",""Türkçe""]",6.8,58.0,2017.0
"[""Drama"",""Romance""]",Two of Us,fr,6.022,"[""Belgium"",""France"",""Luxembourg""]",2020-02-12,"[""Deutsch"",""Français""]",7.1,85.0,2019.0
"[""Documentary""]",Linda Ronstadt: The Sound of My Voice,en,4.166,"[""United States of America""]",2019-09-06,"[""English""]",7.7,21.0,2019.0
"[""Drama"",""War""]",Monos,es,12.441,"[""Argentina"",""Colombia"",""Denmark"",""France"",""Germany"",""Netherlands"",""Sweden"",""Switzerland"",""United States of America"",""Uruguay""]",2019-09-05,"[""English"",""Español""]",6.7,253.0,2019.0
"[""Animation"",""Drama"",""Fantasy""]",I Lost My Body,fr,10.742,"[""France""]",2019-11-06,"[""Français""]",7.6,913.0,2019.0
"[""Comedy"",""Drama"",""Romance"",""Music""]",La La Land,en,28.81,"[""United States of America""]",2016-11-29,"[""English""]",7.9,13717.0,2016.0
"[""Documentary""]",Newtown,en,4.102,"[""United States of America""]",2016-01-24,"[""English""]",6.7,41.0,2016.0
"[""Animation"",""Family"",""Adventure"",""Comedy""]",Klaus,en,28.844,"[""Spain""]",2019-11-08,"[""English"",""""]",8.3,2617.0,2019.0
"[""Comedy"",""Adventure""]",Two Lottery Tickets,ro,2.574,"[""Romania""]",2016-10-07,"[""Română""]",6.9,46.0,2016.0
"[""Action"",""Adventure"",""Science Fiction"",""Fantasy""]",Star Wars: The Force Awakens,en,59.459,"[""United States of America""]",2015-12-15,"[""English""]",7.3,16331.0,2015.0
"[""Action"",""Crime""]",Baby Driver,en,65.166,"[""United Kingdom""]",2017-06-28,"[""English""]",7.5,12509.0,2017.0
"[""Music"",""Documentary""]",Score: A Film Music Documentary,en,8.139,"[""United States of America""]",2017-03-16,"[""English""]",7.3,82.0,2016.0
"[""Drama""]",The Load,sr,2.62,"[""Croatia"",""France"",""Iran"",""Qatar"",""Serbia""]",2019-03-21,"[""Srpski""]",6.8,16.0,2018.0
"[""Documentary""]",California Typewriter,en,5.067,"[""United States of America""]",2017-08-18,"[""English""]",7.0,27.0,2016.0
"[""Documentary""]",Hooligan Sparrow,en,2.075,"[""China"",""United States of America""]",2016-07-22,"[""普通话"",""English""]",7.4,8.0,2016.0
