year_film,year_ceremony,ceremony,canon_category,name,film,winner
2015,2016,88,SOUND MIXING,Jon Taylor/Frank A. Montaño/Randy Thom/Chris Duesterdiek,The Revenant,False
2015,2016,88,SOUND MIXING,Andy Nelson/Christopher Scarabosio/Stuart Wilson,Star Wars: The Force Awakens,False
2015,2016,88,VISUAL EFFECTS,Andrew Whitehurst/Paul Norris/Mark Ardington/Sara Bennett,Ex Machina,True
2015,2016,88,VISUAL EFFECTS,Andrew Jackson/Tom Wood/Dan Oliver/Andy Williams,Mad Max: Fury Road,False
2015,2016,88,VISUAL EFFECTS,Richard Stammers/Anders Langlands/Chris Lawrence/Steven Warner,The Martian,False
2015,2016,88,VISUAL EFFECTS,Rich McBride/Matthew Shumway/Jason Smith/Cameron Waldbauer,The Revenant,False
2015,2016,88,VISUAL EFFECTS,Roger Guyett/Patrick Tubach/Neal Scanlan/Chris Corbould,Star Wars: The Force Awakens,False
2015,2016,88,WRITING (Adapted Screenplay),Charles Randolph/Adam McKay,The Big Short,True
2015,2016,88,WRITING (Adapted Screenplay),Nick Hornby,Brooklyn,False
2015,2016,88,WRITING (Adapted Screenplay),Phyllis Nagy,Carol,False
2015,2016,88,WRITING (Adapted Screenplay),Drew Goddard,The Martian,False
2015,2016,88,WRITING (Adapted Screenplay),Emma Donoghue,Room,False
2015,2016,88,WRITING (Original Screenplay),Matt Charman/Ethan Coen/Joel Coen,Bridge of Spies,False
2015,2016,88,WRITING (Original Screenplay),Alex Garland,Ex Machina,False
2015,2016,88,WRITING (Original Screenplay),Pete Docter/Meg LeFauve/Josh Cooley/Ronnie del Carmen,Inside Out,False
2015,2016,88,WRITING (Original Screenplay),Josh Singer/Tom McCarthy,Spotlight,True
2015,2016,88,WRITING (Original Screenplay),Jonathan Herman/Andrea Berloff/S. Leigh Savidge/Alan Wenkus,Straight Outta Compton,False
2016,2017,89,ACTOR IN A LEADING ROLE,Casey Affleck,Manchester by the Sea,True
2016,2017,89,ACTOR IN A LEADING ROLE,Andrew Garfield,Hacksaw Ridge,False
2016,2017,89,ACTOR IN A LEADING ROLE,Ryan Gosling,La La Land,False
2016,2017,89,ACTOR IN A LEADING ROLE,Viggo Mortensen,Captain Fantastic,False
2016,2017,89,ACTOR IN A LEADING ROLE,Denzel Washington,Fences,False
2016,2017,89,ACTOR IN A SUPPORTING ROLE,Mahershala Ali,Moonlight,True
2016,2017,89,ACTOR IN A SUPPORTING ROLE,Jeff Bridges,Hell or High Water,False
2016,2017,89,ACTOR IN A SUPPORTING ROLE,Lucas Hedges,Manchester by the Sea,False
2016,2017,89,ACTOR IN A SUPPORTING ROLE,Dev Patel,Lion,False
2016,2017,89,ACTRESS IN A LEADING ROLE,Isabelle Huppert,Elle,False
2016,2017,89,ACTRESS IN A LEADING ROLE,Ruth Negga,Loving,False
2016,2017,89,ACTRESS IN A LEADING ROLE,Natalie Portman,Jackie,False
2016,2017,89,ACTRESS IN A LEADING ROLE,Emma Stone,La La Land,True
2016,2017,89,ACTRESS IN A LEADING ROLE,Meryl Streep,Florence Foster Jenkins,False
2016,2017,89,ACTRESS IN A SUPPORTING ROLE,Viola Davis,Fences,True
2016,2017,89,ACTRESS IN A SUPPORTING ROLE,Naomie Harris,Moonlight,False
2016,2017,89,ACTRESS IN A SUPPORTING ROLE,Nicole Kidman,Lion,False
2016,2017,89,ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,Hidden Figures,False
2016,2017,89,ACTRESS IN A SUPPORTING ROLE,Michelle Williams,Manchester by the Sea,False
2016,2017,89,ANIMATED FEATURE FILM,Travis Knight/Arianne Sutner,Kubo and the Two Strings,False
2016,2017,89,ANIMATED FEATURE FILM,John Musker/Ron Clements/Osnat Shurer,Moana,False
2016,2017,89,ANIMATED FEATURE FILM,Claude Barras/Max Karli,My Life as a Zucchini,False
2016,2017,89,ANIMATED FEATURE FILM,Michael Dudok de Wit/Toshio Suzuki,The Red Turtle,False
2016,2017,89,CINEMATOGRAPHY,Bradford Young,Arrival,False
2016,2017,89,CINEMATOGRAPHY,Linus Sandgren,La La Land,True
2016,2017,89,CINEMATOGRAPHY,Greig Fraser,Lion,False
2016,2017,89,CINEMATOGRAPHY,James Laxton,Moonlight,False
2016,2017,89,CINEMATOGRAPHY,Rodrigo Prieto,Silence,False
2016,2017,89,COSTUME DESIGN,Consolata Boyle,Florence Foster Jenkins,False
2016,2017,89,COSTUME DESIGN,Madeline Fontaine,Jackie,False
2016,2017,89,COSTUME DESIGN,Mary Zophres,La La Land,False
2016,2017,89,DIRECTING,Denis Villeneuve,Arrival,False
2016,2017,89,DIRECTING,Mel Gibson,Hacksaw Ridge,False
2016,2017,89,DIRECTING,Damien Chazelle,La La Land,True
2016,2017,89,DIRECTING,Kenneth Lonergan,Manchester by the Sea,False
2016,2017,89,DIRECTING,Barry Jenkins,Moonlight,False
2016,2017,89,DOCUMENTARY (Feature),Gianfranco Rosi/Donatella Palermo,Fire at Sea,False
2016,2017,89,DOCUMENTARY (Feature),Raoul Peck/Rémi Grellety/Hébert Peck,I Am Not Your Negro,False
