title,audienceScore,tomatoMeter,releaseDateTheaters,genre,originalLanguage
The Worst Person in the World,86.0,96.0,2022-02-04,"Comedy, Drama, Romance",Norwegian
The Weasel's Tale,75.0,92.0,2020-12-11,"Comedy, Drama",Spanish
Jersey,92.0,63.0,2019-04-18,Drama,Telugu
"Josee, The Tiger and the Fish",97.0,100.0,2021-07-12,"Romance, Drama, Anime, Animation",Japanese
The Look of Silence,89.0,96.0,2015-07-17,Documentary,Indonesian
It Follows,66.0,95.0,2015-03-27,"Horror, Mystery & thriller",English
The Gift,75.0,91.0,2015-08-07,Mystery & thriller,English
21 Bridges,91.0,54.0,2019-11-22,"Action, Mystery & thriller, Crime, Drama",English
The Courier,95.0,85.0,2021-03-19,"Mystery & thriller, History, Drama",English
Raiders!,78.0,91.0,2016-06-17,Documentary,English
The Painter and the Thief,86.0,97.0,2020-05-22,Documentary,English
K.G.F: Chapter 2,94.0,46.0,2022-04-14,"Action, Crime, Drama",Kannada
Vita Activa: The Spirit of Hannah Arendt,80.0,94.0,2016-04-06,Documentary,German
Hitchcock/Truffaut,76.0,96.0,2015-12-02,Documentary,English
Paper & Glue,100.0,90.0,2021-11-12,Documentary,English
The Sky Is Pink,91.0,73.0,2019-10-11,Drama,English
Clouds of Sils Maria,65.0,91.0,2015-04-10,Drama,English
Leonor Will Never Die,88.0,91.0,2022-11-25,Drama,Filipino
Sweat,69.0,98.0,2021-06-18,Drama,Polish
Floyd Norman: An Animated Life,75.0,94.0,2016-08-26,Documentary,English
Faith Based,58.0,94.0,2020-10-09,Comedy,English
The Promise,92.0,51.0,2017-04-21,"History, Drama, Romance",English
Theo & Hugo,82.0,92.0,2017-01-27,"Drama, Romance, Lgbtq+",French (France)
Queen of Katwe,86.0,94.0,2016-09-30,"Biography, Drama",English
Hatching,61.0,92.0,2022-04-29,Horror,Finnish
The Grief of Others,54.0,92.0,2018-11-02,Drama,English
Monuments,98.0,80.0,2021-06-04,Comedy,English
Grass,65.0,92.0,2019-04-19,Drama,Korean
Held for Ransom,73.0,100.0,2021-10-15,Drama,Danish
The Return of Tanya Tucker: Featuring Brandi Carlile,94.0,92.0,2022-10-21,"Documentary, Music",English
Oh Lucy!,82.0,98.0,2018-03-02,"Comedy, Drama",English
Ghostbox Cowboy,50.0,91.0,2018-11-30,"Comedy, Drama",English
The Scent of Rain & Lightning,83.0,100.0,2018-02-16,"Mystery & thriller, Western",English
