title,audienceScore,tomatoMeter,releaseDateTheaters,genre,originalLanguage
Little Sister,55.0,94.0,2016-10-14,"Comedy, Drama",English
X,75.0,94.0,2022-03-18,"Horror, Mystery & thriller",English
Dark Waters,95.0,89.0,2019-12-06,"Drama, Mystery & thriller",English
Blood From Stone,88.0,100.0,2020-10-30,"Horror, Mystery & thriller",English
Jawline,50.0,97.0,2019-08-23,Documentary,English
The Freedom to Marry,94.0,94.0,2017-03-03,"Documentary, Lgbtq+",English
Rock Camp: The Movie,91.0,89.0,2021-01-15,"Documentary, Music",English
Dance Academy: The Movie,80.0,100.0,2018-03-02,Drama,English
Life and Nothing More,83.0,93.0,2018-10-24,Drama,English
Working Woman,94.0,98.0,2019-03-27,Drama,Hebrew
Pray: The Story of Patrick Peyton,100.0,100.0,2020-10-09,Documentary,English
Jujutsu Kaisen 0: The Movie,98.0,98.0,2022-03-18,"Fantasy, Action, Adventure, Anime",Japanese
After the Storm,80.0,96.0,2017-03-17,Drama,Japanese
Fantastic Fungi,94.0,100.0,2019-10-11,Documentary,English
On Her Shoulders,81.0,96.0,2018-10-19,Documentary,English
Support the Girls,60.0,91.0,2018-08-24,Comedy,English
Alone,55.0,91.0,2020-09-18,Mystery & thriller,English
A Fantastic Woman,77.0,94.0,2018-02-02,"Drama, Lgbtq+",Spanish
Everything Everywhere All at Once,86.0,94.0,2022-04-08,"Comedy, Adventure, Sci-fi, Fantasy",English
Asia,69.0,91.0,2021-06-11,Drama,Hebrew
The Killer,91.0,79.0,2022-07-13,"Action, Mystery & thriller",Korean
Not Going Quietly,86.0,100.0,2021-08-13,Documentary,English
Stefan Zweig: Farewell to Europe,67.0,93.0,2017-05-12,"Biography, History, Drama",German
Atlantics,66.0,96.0,2019-11-15,Drama,Wolof
American Relapse,84.0,100.0,2019-03-29,Documentary,English
Panga,83.0,94.0,2020-01-24,Drama,Hindi
Holler,75.0,92.0,2021-06-11,Drama,English
Saand Ki Aankh,91.0,56.0,2019-10-25,"Comedy, Drama",Hindi
Daughter,100.0,94.0,2023-02-10,"Mystery & thriller, Horror",English
If the Dancer Dances,93.0,93.0,2019-04-26,Documentary,English
Division 19,91.0,9.0,2019-04-05,"Mystery & thriller, Sci-fi, Action",English
Respect,95.0,68.0,2021-08-13,"Biography, Drama, Music",English
Brother's Keeper,100.0,100.0,2022-10-21,"Drama, Mystery & thriller",English
Godzilla vs. Kong,91.0,75.0,2021-03-31,"Sci-fi, Action, Adventure",English
The First Film,71.0,91.0,2016-09-08,Biography,English
Humpback Whales,85.0,100.0,2015-02-13,Documentary,English
Inside Out,89.0,98.0,2015-06-19,"Kids & family, Comedy, Fantasy, Animation",English
Disturbing the Peace,68.0,100.0,2016-11-11,Documentary,English
Midnight Family,80.0,97.0,2019-12-06,"Documentary, Action, Crime, Drama",Spanish
The Proposal,38.0,97.0,2019-05-24,Documentary,English
Restoring Tomorrow,90.0,100.0,2018-04-27,Documentary,English
Killing for Love,82.0,100.0,2017-12-15,Documentary,English
The Dark Horse,77.0,97.0,2016-04-01,"Biography, Drama",English
Always in Season,100.0,85.0,2019-09-20,Documentary,English
Incitement,79.0,96.0,2020-01-31,Drama,English
The Other Fellow,80.0,100.0,2023-02-17,"Biography, Documentary",English (United Kingdom)
Lunana: A Yak in the Classroom,87.0,98.0,2022-01-21,"Drama, Romance, Comedy",Dzongkha
3 Faces,71.0,98.0,2019-03-08,Drama,Persian
On the Beach at Night Alone,67.0,92.0,2017-11-17,Drama,Korean
Honeyland,86.0,100.0,2019-07-26,Documentary,Turkish
The Age of Shadows,83.0,100.0,2016-09-23,"Action, Mystery & thriller",Korean
Say Your Prayers,47.0,100.0,2021-04-02,Comedy,English (United Kingdom)
"I, Daniel Blake",85.0,92.0,2017-06-02,Drama,English (United Kingdom)
The Fabelmans,83.0,92.0,2022-11-23,Drama,English
Maiden,97.0,98.0,2019-06-28,Documentary,English
The Way I See It,93.0,85.0,2020-09-18,Documentary,English
Zootopia,92.0,98.0,2016-03-04,"Kids & family, Comedy, Adventure, Animation",English
Jay and Silent Bob Reboot,93.0,64.0,2019-10-15,Comedy,English
The World Before Your Feet,75.0,100.0,2018-11-21,Documentary,English
Hustle,93.0,93.0,2022-06-03,Drama,English
A Man Called Ove,87.0,91.0,2016-09-30,"Comedy, Drama",Swedish
Enter the Fat Dragon,91.0,64.0,2020-02-14,"Action, Comedy",Chinese
The Loneliest Boy in the World,93.0,38.0,2022-10-14,"Comedy, Horror",English (United Kingdom)
Lion,91.0,84.0,2016-12-21,"Drama, Biography",English
Elvis,94.0,77.0,2022-06-24,"Biography, Drama, Music",English
Penguin Highway,76.0,100.0,2019-04-12,"Adventure, Anime",Japanese
Val,89.0,94.0,2021-07-23,"Documentary, Biography",English
RRR,94.0,95.0,2022-03-25,"Action, Drama",Telugu
June Again,90.0,100.0,2022-01-07,"Comedy, Drama",English (Australia)
Alive and Kicking,93.0,100.0,2017-04-07,"Documentary, Music",English
The Last Vermeer,91.0,69.0,2020-11-20,Drama,English
MLK/FBI,67.0,98.0,2021-01-15,Documentary,English
My Policeman,96.0,46.0,2022-10-21,"Romance, Drama, Lgbtq+",English
Two Step,68.0,100.0,2015-07-31,"Mystery & thriller, Crime, Drama",English
Blood on Her Name,53.0,96.0,2020-02-28,"Crime, Drama, Mystery & thriller",English
Saloum,69.0,96.0,2022-09-02,"Horror, Mystery & thriller, Action",French (France)
Private Life,78.0,94.0,2018-10-05,"Comedy, Drama",English
The Wild Boys,82.0,91.0,2018-08-24,"Adventure, Fantasy",French (France)
Judas and the Black Messiah,95.0,97.0,2021-02-12,"History, Drama, Biography",English
Black Panther,79.0,96.0,2018-02-16,"Action, Adventure, Fantasy",English
Days of the Bagnold Summer,68.0,92.0,2021-02-19,Comedy,English (United Kingdom)
Rumble: The Indians Who Rocked the World,89.0,91.0,2017-07-26,"Documentary, Music",English
The Pez Outlaw,83.0,100.0,2022-10-21,Documentary,English
Happy Hunting,48.0,100.0,2017-09-22,"Horror, Mystery & thriller",English
Microbe and Gasoline,72.0,92.0,2016-07-01,"Comedy, Adventure",French (France)
The Uncondemned,100.0,100.0,2016-10-21,Documentary,English
Ainu Mosir,67.0,100.0,2020-11-17,Drama,Japanese
Far From the Tree,95.0,90.0,2018-07-20,Documentary,English
All the Rage,91.0,67.0,2017-06-23,Documentary,English
El Camino: A Breaking Bad Movie,81.0,92.0,2019-10-11,"Crime, Drama",English
The United States of Insanity,94.0,100.0,2021-10-26,"Documentary, Music",English
Escape From Extinction,100.0,57.0,2020-10-16,Documentary,English
Harold and Lillian: A Hollywood Love Story,89.0,97.0,2017-04-28,Documentary,English
Finding Kendrick Johnson,71.0,100.0,2021-10-29,Documentary,English
The Most Dangerous Year,100.0,92.0,2019-04-12,Documentary,English
The Tragedy of Macbeth,75.0,92.0,2021-12-25,"Drama, Mystery & thriller",English
Wheel of Fortune and Fantasy,81.0,99.0,2021-10-15,"Drama, Romance",Japanese
Swan Song,75.0,92.0,2021-08-06,"Drama, Lgbtq+",English
Let It Be Morning,100.0,88.0,2023-02-03,"Comedy, Drama",Arabic
The Crime of Monsieur Lange,81.0,100.0,2017-11-17,"Comedy, Drama",French (Canada)
Ash Is Purest White,70.0,99.0,2019-03-15,"Drama, Romance",Chinese
My Heart Can't Beat Unless You Tell It To,57.0,98.0,2021-06-25,"Horror, Drama",English
Mike Wallace Is Here,86.0,95.0,2019-07-26,"Documentary, Biography",English
Portrait of a Lady on Fire,92.0,97.0,2019-12-06,"Romance, History, Drama, Lgbtq+",French (France)
The Fits,54.0,96.0,2016-06-03,Drama,English
The Swimmer,85.0,92.0,2022-10-07,"Lgbtq+, Drama",Hebrew
Song of Lahore,84.0,100.0,2015-11-13,"Documentary, Music",English
Jimmy Carter: Rock & Roll President,83.0,95.0,2020-09-09,"Documentary, Music",English
The Sparring Partner,100.0,100.0,2022-12-09,"Crime, Drama, Mystery & thriller",Chinese
Jockey,59.0,93.0,2021-12-29,Drama,English
Utama,88.0,96.0,2022-11-04,Drama,Spanish
The Last Full Measure,96.0,60.0,2020-01-24,"War, Drama",English
Penguins,80.0,92.0,2019-04-17,Documentary,English
Girls Trip,78.0,92.0,2017-07-21,Comedy,English
Hold Your Fire,55.0,95.0,2022-05-20,"Documentary, History",English
Marlina the Murderer in Four Acts,79.0,98.0,2018-06-22,"Mystery & thriller, Drama, Western",Indonesian
Gunda,68.0,98.0,2021-04-16,Documentary,English
Heal the Living,67.0,92.0,2017-04-14,Drama,French (France)
American Underdog,98.0,75.0,2021-12-25,"Biography, Drama",English
Tikkun,46.0,95.0,2016-06-10,Drama,Hebrew
Moffie,69.0,91.0,2021-04-09,"War, Drama",English (United Kingdom)
Crock of Gold: A Few Rounds With Shane MacGowan,92.0,96.0,2020-12-04,"Documentary, Music",English
Harry & Snowman,81.0,94.0,2016-09-30,Documentary,English
Thelma,77.0,92.0,2017-11-10,"Mystery & thriller, Horror",Norwegian
Linda Ronstadt: The Sound of My Voice,99.0,89.0,2019-09-06,"Documentary, Music",English
The Bad Guys,93.0,88.0,2022-04-22,"Kids & family, Comedy, Adventure, Animation",English
Uncle Howard,62.0,92.0,2016-11-18,"Documentary, Biography",English
The Forbidden Room,50.0,96.0,2015-10-07,"Comedy, Drama, Mystery & thriller",English
Step,78.0,96.0,2017-08-04,Documentary,English
Decision to Leave,86.0,93.0,2022-10-14,"Mystery & thriller, Crime, Drama, Romance",Korean
Minari,86.0,98.0,2021-02-12,Drama,English
Together Together,77.0,91.0,2021-04-23,"Comedy, Drama",English
Some Freaks,71.0,92.0,2017-08-04,"Comedy, Drama, Romance",English
Hotel by the River,65.0,95.0,2019-02-15,Drama,Korean
Sardar Udham,95.0,94.0,2021-10-01,"History, Drama, Biography",Hindi
Fyre,86.0,93.0,2019-01-18,Documentary,English
I Am the Blues,89.0,100.0,2017-07-12,"Documentary, Music, History, Drama",English
Swallows and Amazons,62.0,94.0,2017-07-14,"Adventure, Drama",English (United Kingdom)
House of Hummingbird,75.0,98.0,2020-06-26,Drama,Korean
Thunder Road,91.0,97.0,2018-10-12,"Comedy, Drama",English
Merata: How Mum Decolonised the Screen,100.0,92.0,2019-05-10,"Documentary, Biography",English (Australia)
Ghostbusters: Afterlife,94.0,63.0,2021-11-19,"Comedy, Fantasy, Adventure",English
Writing with Fire,78.0,100.0,2021-11-26,Documentary,Hindi
Cameraperson,69.0,99.0,2016-09-09,Documentary,English
The Art of Racing in the Rain,96.0,45.0,2019-08-09,"Comedy, Drama",English
Diane,69.0,93.0,2019-03-29,Drama,English
Black and Blue,93.0,51.0,2019-10-25,"Mystery & thriller, Crime, Drama, Action",English
Feels Good Man,83.0,95.0,2020-09-04,Documentary,English
Félicité,46.0,98.0,2017-10-27,Drama,Lingala
Jojo Rabbit,94.0,80.0,2019-11-08,"Comedy, Drama",English
Created Equal: Clarence Thomas in His Own Words,99.0,33.0,2020-01-31,Documentary,English
Boy and the World,77.0,93.0,2015-12-11,"Kids & family, Adventure, Animation",Portuguese (Brazil)
You Resemble Me,92.0,94.0,2022-11-04,Drama,French
Peace Officer,87.0,100.0,2015-09-16,"Documentary, Crime, Drama",English
Section 375,100.0,64.0,2019-09-13,"Crime, Drama",Hindi
Slash/Back,49.0,92.0,2022-10-21,"Horror, Sci-fi, Action, Mystery & thriller",English
The Unicorn,64.0,91.0,2019-02-01,Comedy,English
Searching,87.0,92.0,2018-08-31,Mystery & thriller,English
Asperger's Are Us,87.0,100.0,2016-11-11,"Documentary, Comedy, Drama",English
Spa Night,60.0,96.0,2016-08-19,"Drama, Lgbtq+",Korean
Ascension,60.0,98.0,2021-10-08,Documentary,Chinese
Is That Black Enough for You?!?,65.0,100.0,2022-10-28,Documentary,English
EO,67.0,96.0,2022-11-18,Drama,Polish
The Armor of Light,68.0,96.0,2015-10-30,Documentary,English
Chasing the Win,100.0,100.0,2018-08-31,Documentary,English
A Beautiful Planet,78.0,100.0,2016-04-29,Documentary,English
The Hidden Life of Trees,67.0,95.0,2021-07-16,Documentary,German
Return to Seoul,61.0,96.0,2022-12-02,Drama,English
The Measure of a Man,60.0,92.0,2016-04-15,Drama,French (France)
Aferim!,76.0,98.0,2016-01-22,"History, Drama, Western, Comedy",Romanian
Vikram Vedha,95.0,79.0,2022-09-30,"Action, Mystery & thriller",Hindi
Nossa Chape,95.0,92.0,2018-06-01,Documentary,Portuguese (Brazil)
Betrayed,100.0,100.0,2021-12-03,"History, Drama, War",Norwegian
Legion of Brothers,68.0,100.0,2017-05-19,Documentary,English
Room,93.0,93.0,2016-01-22,Drama,English
Queen of Paradis,93.0,100.0,2020-03-06,Documentary,English
¡Viva Maestro!,50.0,100.0,2022-04-08,"Documentary, Music, Biography",English
Language Lessons,82.0,96.0,2021-09-10,"Comedy, Drama",English
Sin,73.0,95.0,2021-02-19,"Biography, History, Drama",Italian
Slow West,74.0,92.0,2015-05-15,"Western, Mystery & thriller",English
Be Here Now (The Andy Whitfield Story),93.0,100.0,2016-04-08,Documentary,English
Parasite,90.0,99.0,2019-11-01,"Comedy, Mystery & thriller, Drama",Korean
The Russian Five,98.0,100.0,2019-03-22,Documentary,English
Call Me by Your Name,86.0,94.0,2018-01-19,"Romance, Drama, Lgbtq+",English
The Bill Murray Stories: Life Lessons Learned From a Mythical Man,79.0,95.0,2018-09-28,Documentary,English
11:55,80.0,100.0,2017-06-09,"Crime, Drama",English
Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb,100.0,96.0,2022-12-30,"Documentary, Biography",English
"Goodbye, Petrushka",99.0,100.0,2022-07-15,"Romance, Comedy",English
Ex Libris: The New York Public Library,61.0,97.0,2017-09-13,Documentary,English
In This Corner of the World,89.0,97.0,2017-08-11,"History, Drama, War, Anime",Japanese
Turn It Around: The Story of East Bay Punk,92.0,83.0,2017-05-31,"Documentary, Music",English
The Edge of Seventeen,83.0,94.0,2016-11-18,"Comedy, Drama",English
American Siege,92.0,8.0,2022-01-07,"Action, Mystery & thriller",English
A Quiet Place Part II,92.0,91.0,2021-05-28,"Horror, Mystery & thriller",English
Official Competition,81.0,96.0,2022-06-17,"Comedy, Drama",Spanish (Spain)
The Mermaid,60.0,95.0,2016-02-19,"Comedy, Fantasy",Chinese
Midnight Traveler,79.0,98.0,2019-09-18,"Documentary, War",Persian
Our American Family,70.0,100.0,2022-09-02,Documentary,English
Desert One,91.0,88.0,2020-08-21,Documentary,English
Gilbert,87.0,95.0,2017-11-03,Documentary,English
Haunt,100.0,69.0,2019-09-13,"Holiday, Horror, Mystery & thriller",English
Minding the Gap,91.0,100.0,2018-08-17,Documentary,English
Meadowland,56.0,92.0,2015-10-16,Drama,English
Gloria,67.0,100.0,2015-07-17,"Biography, Drama",Spanish
Combat Obscura,74.0,100.0,2019-03-15,Documentary,English
Tread,87.0,92.0,2020-02-28,Documentary,English
The Brooklyn Banker,91.0,20.0,2016-08-05,"Crime, Drama",English
Three Minutes - A Lengthening,79.0,100.0,2022-08-19,Documentary,English
Chavela,81.0,95.0,2017-10-04,"Documentary, Music",Spanish
Sing a Bit of Harmony,97.0,100.0,2022-01-23,"Drama, Anime",Japanese
The Biggest Little Farm,95.0,91.0,2019-05-10,Documentary,English
Dina,82.0,97.0,2017-10-06,Documentary,English
Spider-Man: Into the Spider-Verse,93.0,97.0,2018-12-14,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",English
In from the Side,94.0,50.0,2023-01-20,"Drama, Lgbtq+, Sports, Romance",English (United Kingdom)
Little Fish,84.0,91.0,2021-02-05,"Romance, Drama, Sci-fi",English
Find Me,57.0,100.0,2019-05-31,Drama,English
7 Prisoners,89.0,98.0,2021-11-05,Drama,Portuguese (Brazil)
After We Collided,93.0,13.0,2020-10-23,"Romance, Drama",English
Blinded by the Light,91.0,89.0,2019-08-16,"Comedy, Drama, Music",English
Green Book,91.0,77.0,2018-11-21,"Comedy, Drama",English
Secret Superstar,86.0,92.0,2017-10-20,"Drama, Music",Hindi
Can You Ever Forgive Me?,81.0,98.0,2018-10-19,"Biography, Comedy, Drama, Lgbtq+",English
Infinite Football,60.0,96.0,2018-11-09,Documentary,Romany
The Martian,91.0,91.0,2015-10-02,"Sci-fi, Adventure, Drama",English
Spider-Man: Far From Home,95.0,90.0,2019-07-02,"Action, Adventure, Fantasy, Comedy",English
Ahead of the Curve,90.0,96.0,2021-05-28,"Documentary, Lgbtq+",English
Pretty Problems,96.0,67.0,2022-10-07,"Romance, Comedy, Drama",English
Crazy Rich Asians,76.0,91.0,2018-08-15,"Romance, Comedy",English
Birthright: A War Story,50.0,100.0,2017-07-14,Documentary,English
The Favourite,70.0,93.0,2018-12-14,"Comedy, Drama",English (United Kingdom)
The Human Factor,73.0,96.0,2021-01-22,Documentary,English
Margrete: Queen of the North,53.0,94.0,2021-12-17,"History, Drama",Danish
From the Hood to the Holler,94.0,88.0,2022-09-16,Documentary,English
Delicious,95.0,100.0,2022-01-14,"Comedy, History, Drama",French (France)
Drunk Bus,70.0,98.0,2021-05-21,"Comedy, Drama",English
"All Light, Everywhere",64.0,94.0,2021-06-04,Documentary,English
Angkor Awakens: A Portrait of Cambodia,80.0,93.0,2017-05-05,Documentary,English
The Peanut Butter Falcon,96.0,95.0,2019-08-23,"Comedy, Drama, Adventure",English
Pearl Jam: Let's Play Two,96.0,82.0,2017-09-29,"Documentary, Music",English
Slalom,59.0,100.0,2021-04-09,Drama,French (France)
La familia,50.0,91.0,2018-08-03,Drama,Spanish
Hacksaw Ridge,91.0,84.0,2016-11-04,"War, History, Drama, Biography",English
Clifford the Big Red Dog,94.0,58.0,2021-11-10,"Kids & family, Comedy, Adventure",English
Welcome to Leith,75.0,96.0,2015-09-09,Documentary,English
The Vast of Night,66.0,93.0,2020-05-15,"Fantasy, Mystery & thriller",English
Long Strange Trip,90.0,100.0,2017-05-26,"Documentary, Music",English
The Storyteller,99.0,71.0,2018-09-21,"Drama, Fantasy",English
Only in Theaters,95.0,86.0,2022-11-18,"Documentary, Biography, History",English
Blind Ambition,67.0,100.0,2022-09-02,Documentary,English
Some Kind of Heaven,75.0,93.0,2021-01-15,Documentary,English
Good Fortune,96.0,78.0,2017-06-22,Documentary,English
My Hero Academia: World Heroes' Mission,95.0,86.0,2021-10-29,"Action, Adventure, Anime",Japanese
Wild Tales,92.0,94.0,2015-02-20,"Comedy, Drama",Spanish
Transformer,86.0,100.0,2018-10-12,Documentary,English
99 Homes,78.0,93.0,2015-10-09,Drama,English
Bridge of Spies,87.0,91.0,2015-10-16,"History, Drama, Mystery & thriller",English
Machines,88.0,93.0,2017-08-09,Documentary,Hindi
The Last Resort,62.0,92.0,2018-12-21,Documentary,English
"Scream, Queen! My Nightmare on Elm Street",88.0,100.0,2020-02-27,"Documentary, Lgbtq+",English
A Brave Heart: The Lizzie Velasquez Story,93.0,93.0,2015-09-25,Documentary,English
April and the Extraordinary World,77.0,97.0,2016-04-08,"Sci-fi, Adventure, Animation",French (Canada)
After Auschwitz,83.0,100.0,2018-04-20,Documentary,English
This Magnificent Cake!,90.0,100.0,2019-03-01,"Comedy, Drama, Animation",Dutch
Rocketry: The Nambi Effect,100.0,64.0,2022-07-01,"Drama, Biography",English
Take Me Somewhere Nice,67.0,93.0,2021-06-11,Drama,Bosnian
Kangaroo,96.0,78.0,2018-01-19,Documentary,English
Paddington,80.0,97.0,2015-01-16,"Kids & family, Comedy, Adventure",English
Wexford Plaza,83.0,100.0,2017-10-27,Comedy,English
Wild Rose,87.0,92.0,2019-06-21,"Comedy, Drama, Music",English
Command and Control,76.0,95.0,2016-09-14,Documentary,English
Hell Hath No Fury,45.0,93.0,2021-11-05,"War, Action, Drama",English
The Wandering Soap Opera,67.0,100.0,2019-05-17,"Comedy, Drama",Spanish
Sonic the Hedgehog,93.0,64.0,2020-02-14,"Kids & family, Comedy, Adventure, Fantasy",English
Lonesome,33.0,100.0,2023-02-17,"Drama, Lgbtq+",English (Australia)
Never Gonna Snow Again,67.0,93.0,2021-07-30,"Comedy, Drama",Polish
Spontaneous,67.0,96.0,2020-10-02,"Comedy, Horror, Romance",English
Love & Bananas: An Elephant Story,86.0,94.0,2018-04-27,Documentary,English
Moonlight,79.0,98.0,2016-11-18,"Drama, Lgbtq+",English
Hidden Figures,93.0,93.0,2017-01-06,"History, Drama",English
Widows,61.0,91.0,2018-11-16,"Mystery & thriller, Crime, Drama",English
Shaft,94.0,34.0,2019-06-14,"Action, Comedy",English
Abacus: Small Enough to Jail,84.0,93.0,2017-05-19,Documentary,English
The Cat and the Moon,91.0,78.0,2019-10-25,Drama,English
Mad Max: Fury Road,86.0,97.0,2015-05-15,"Action, Adventure",English
1985,82.0,96.0,2018-10-26,"Drama, Lgbtq+",English
In Her Name,89.0,100.0,2016-12-02,Drama,French (France)
Weiner,83.0,96.0,2016-05-20,Documentary,English
The Spy Gone North,94.0,100.0,2018-08-10,Drama,Korean
1982,83.0,95.0,2022-06-10,"History, Drama, War",Arabic
The Outfit,92.0,85.0,2022-03-18,"Mystery & thriller, Crime, Drama",English
Wildhood,75.0,100.0,2022-06-17,"Drama, Lgbtq+",English
Seed: The Untold Story,86.0,93.0,2016-09-23,Documentary,English
Uncertain,82.0,100.0,2017-03-09,"Documentary, Comedy, Drama",English
Back to the Drive-In,80.0,92.0,2022-08-12,Documentary,English
Downfall: The Case Against Boeing,89.0,91.0,2022-02-18,Documentary,English
Marcel the Shell with Shoes On,91.0,98.0,2022-07-22,"Kids & family, Comedy, Animation",English
Big Sonia,98.0,95.0,2017-11-17,Documentary,English
Girl Picture,82.0,99.0,2022-08-12,"Drama, Romance",Finnish
One Child Nation,85.0,98.0,2019-08-09,Documentary,English
Burning Cane,35.0,92.0,2019-10-25,Drama,English
Spring Blossom,36.0,93.0,2021-05-21,"Comedy, Drama, Romance",French (France)
"Cyrano, My Love",100.0,81.0,2019-10-18,"Comedy, Drama",French (France)
Top Spin,75.0,100.0,2015-08-21,Documentary,English
Nadigaiyar Thilagam (Tamil),95.0,100.0,2018-05-08,"Biography, History, Drama",Telugu
Who Invited Charlie?,99.0,71.0,2023-02-03,Comedy,English
Pain and Glory,91.0,96.0,2019-10-04,Drama,Spanish (Spain)
Brooklyn,87.0,97.0,2015-11-25,"Romance, History, Drama",English (United Kingdom)
Dio: Dreamers Never Die,99.0,100.0,2022-09-28,"Documentary, Music, Biography",English
Dramarama,75.0,100.0,2021-08-13,"Comedy, Drama, Lgbtq+",English
Shepherd: The Story of a Jewish Dog,94.0,80.0,2021-05-28,"History, Drama",English
Uunchai,92.0,27.0,2022-11-11,"Comedy, Drama",Hindi
'96,89.0,100.0,2018-10-03,Romance,Tamil
Come as You Are,80.0,95.0,2020-02-14,"Comedy, Drama",English
Coco,94.0,97.0,2017-11-22,"Kids & family, Comedy, Adventure, Music, Animation",English
Whitney Houston: I Wanna Dance with Somebody,92.0,44.0,2022-12-23,"Biography, Drama, Music",English
Moonage Daydream,76.0,92.0,2022-09-23,"Documentary, Music",English
Shelley,39.0,92.0,2016-07-29,"Horror, Mystery & thriller",Danish
A Very Sordid Wedding,95.0,86.0,2017-03-10,"Comedy, Lgbtq+",English
On-Gaku: Our Sound,80.0,100.0,2020-12-11,"Comedy, Music, Anime, Animation",Japanese
El Planeta,40.0,95.0,2021-09-24,"Comedy, Drama",Spanish (Spain)
Never Rarely Sometimes Always,54.0,99.0,2020-03-13,Drama,English
Piggy,57.0,92.0,2022-10-07,"Horror, Mystery & thriller, Drama",Spanish (Spain)
Deep in the Heart: A Texas Wildlife Story,100.0,100.0,2022-06-03,Documentary,English
Shin Ultraman,86.0,96.0,2023-01-11,"Sci-fi, Action, Drama",Japanese
Making Waves: The Art of Cinematic Sound,93.0,97.0,2019-10-25,Documentary,English
EVANGELION:3.0+1.01 Thrice Upon a Time,92.0,100.0,2022-11-30,"Sci-fi, Action, Anime, Drama",Japanese
Potato Dreams of America,81.0,91.0,2022-01-14,"Comedy, Lgbtq+, Biography",English
Transit,65.0,95.0,2019-03-01,"History, Drama",German
Red Army,85.0,92.0,2015-01-23,Documentary,English
Daisy Winters,94.0,60.0,2017-12-01,Drama,English
The Assistant,25.0,93.0,2020-01-31,Drama,English
M3GAN,78.0,93.0,2023-01-06,"Horror, Mystery & thriller, Sci-fi, Comedy",English
Black Panther: Wakanda Forever,94.0,84.0,2022-11-11,"Action, Adventure, Fantasy",English
In the Last Days of the City,100.0,80.0,2018-04-27,Drama,Arabic
I'll See You in My Dreams,68.0,94.0,2015-05-15,"Romance, Comedy, Drama",English
The Big Sick,88.0,98.0,2017-07-14,"Romance, Comedy",English
Filmworker,84.0,95.0,2018-05-11,Documentary,English
About Endlessness,56.0,94.0,2021-04-30,Drama,Swedish
My Hero Academia: Heroes Rising,98.0,90.0,2020-02-26,"Action, Adventure, Anime",Japanese
The Velvet Underground,81.0,98.0,2021-10-15,"Documentary, Music",English
Science Fair,85.0,97.0,2018-09-14,Documentary,English
Arabian Nights: Volume 2 -- The Desolate One,77.0,100.0,2015-12-11,Drama,Portuguese (Brazil)
Emanuel,98.0,100.0,2019-06-17,Documentary,English
Mobile Suit Gundam: Cucuruz Doan's Island,100.0,100.0,2022-09-27,"Sci-fi, Anime",Japanese
Barbarian,71.0,93.0,2022-09-09,"Horror, Mystery & thriller",English
Hockeyland,92.0,85.0,2022-09-09,Documentary,English
Residue,58.0,94.0,2020-09-17,Drama,English
Plane,94.0,77.0,2023-01-13,"Action, Adventure, Mystery & thriller",English
"Hallelujah: Leonard Cohen, a Journey, a Song",93.0,88.0,2022-07-01,"Documentary, Music",English
Tangerine,76.0,96.0,2015-07-10,"Comedy, Drama",English
My Little Sister,92.0,94.0,2021-01-15,Drama,German
MAFIA INC,69.0,94.0,2021-02-19,"Crime, Drama",French (Canada)
Knives Out,92.0,97.0,2019-11-27,"Mystery & thriller, Comedy, Drama",English
Pop Aye,63.0,92.0,2017-06-28,"Comedy, Drama",Thai
Turbo Kid,77.0,91.0,2015-08-28,"Action, Adventure, Sci-fi, Comedy",English
Running Shaadi,98.0,17.0,2017-02-17,"Romance, Comedy",Hindi
Most Beautiful Island,47.0,94.0,2017-11-02,"Mystery & thriller, Drama",English
Chicken People,64.0,100.0,2016-09-23,"Documentary, Comedy",English
To Leslie,86.0,93.0,2022-10-07,Drama,English
Try Harder!,86.0,97.0,2021-12-03,Documentary,English
Teen Titans GO! to the Movies,71.0,91.0,2018-07-27,"Kids & family, Comedy, Adventure, Action, Animation",English
In Fabric,52.0,91.0,2019-12-06,"Horror, Comedy",English (United Kingdom)
Killing Them Safely,53.0,91.0,2015-11-27,"Documentary, Drama",English
Mission Mangal,95.0,60.0,2019-08-15,Drama,Hindi
Transpecos,56.0,91.0,2016-09-09,Mystery & thriller,English
Unsilenced,100.0,90.0,2022-01-21,Drama,English
An L.A. Minute,100.0,22.0,2018-08-24,Comedy,English
Full River Red,66.0,100.0,2023-03-17,"Action, Comedy",Chinese
Uncle Peckerhead,69.0,100.0,2020-08-07,"Horror, Comedy",English
Ellie and Abbie (and Ellie's Dead Aunt),63.0,100.0,2021-08-27,"Comedy, Lgbtq+, Romance",English (Australia)
East of the Mountains,56.0,100.0,2021-09-24,"Drama, Adventure",English
Kingdom,96.0,94.0,2019-08-16,"Action, Adventure, War",Japanese
Larger Than Life: The Kevyn Aucoin Story,93.0,90.0,2018-07-20,"Documentary, Biography",English
Louis Armstrong's Black & Blues,80.0,98.0,2022-10-28,"Documentary, Music, Biography",English
Premature,71.0,93.0,2020-02-21,"Drama, Romance",English
Leave No Trace,80.0,100.0,2018-06-29,Drama,English
Crocodile Gennadiy,82.0,98.0,2016-05-20,Documentary,English
Chimera Strain,92.0,60.0,2019-03-15,"Sci-fi, Mystery & thriller",English
Dancing Arabs,76.0,93.0,2015-06-26,Drama,Arabic
