movie_id,audienceScore,tomatoMeter,popularity,vote_average,vote_count
237,72.0,92.0,4.574,0.0,0.0
238,57.0,97.0,3.326,7.4,29.0
239,96.0,97.0,0.945,0.0,0.0
240,75.0,92.0,23.479,6.8,404.0
241,89.0,99.0,8.048,7.7,291.0
242,50.0,97.0,3.005,7.5,2.0
243,91.0,100.0,6.697,7.4,47.0
245,76.0,93.0,4.978,7.1,39.0
246,88.0,93.0,2.734,0.0,0.0
247,97.0,94.0,324.327,8.1,4530.0
248,73.0,98.0,2.919,5.8,19.0
249,80.0,100.0,1.425,0.0,0.0
250,67.0,100.0,2.239,6.4,8.0
252,56.0,96.0,7.618,6.8,110.0
253,55.0,93.0,4.715,5.9,125.0
254,100.0,96.0,4.731,0.0,0.0
255,83.0,94.0,10.179,7.6,165.0
257,85.0,91.0,17.167,7.4,545.0
258,54.0,92.0,14.979,6.5,304.0
259,89.0,94.0,14.788,7.3,1859.0
260,73.0,95.0,12.863,6.6,593.0
261,92.0,95.0,14.673,7.9,1788.0
262,64.0,96.0,4.105,6.8,34.0
264,76.0,97.0,3.213,7.0,13.0
265,76.0,92.0,16.484,6.7,2691.0
266,83.0,96.0,70.673,7.4,10920.0
267,84.0,97.0,5.747,7.3,90.0
273,62.0,94.0,3.671,6.9,9.0
274,65.0,91.0,1.344,5.3,3.0
275,92.0,77.0,38.829,7.7,2094.0
277,93.0,97.0,24.869,7.3,152.0
278,95.0,96.0,15.12,8.7,197.0
286,86.0,98.0,1.715,0.0,0.0
287,72.0,95.0,19.879,6.2,44.0
288,60.0,95.0,0.894,10.0,1.0
290,92.0,57.0,4.518,5.0,49.0
291,89.0,96.0,17.413,7.3,224.0
293,92.0,61.0,113.911,0.0,0.0
294,93.0,95.0,143.608,8.4,2618.0
295,84.0,100.0,7.35,7.4,172.0
296,89.0,100.0,3.236,6.0,4.0
297,48.0,92.0,10.5,6.2,142.0
298,59.0,97.0,6.903,6.3,110.0
299,69.0,93.0,9.705,6.9,82.0
