year_film,year_ceremony,ceremony,canon_category,name,title,winner,nomination_id
2015,2016,88,SOUND EDITING,Matthew Wood/David Acord,Star Wars: The Force Awakens,False,71
2015,2016,88,SOUND MIXING,Andy Nelson/Gary Rydstrom/Drew Kunin,Bridge of Spies,False,72
2015,2016,88,SOUND MIXING,Chris Jenkins/Gregg Rudloff/Ben Osmo,Mad Max: Fury Road,True,73
2015,2016,88,SOUND MIXING,Paul Massey/Mark Taylor/Mac Ruth,The Martian,False,74
2015,2016,88,SOUND MIXING,Jon Taylor/Frank A. Montaño/Randy Thom/Chris Duesterdiek,The Revenant,False,75
2015,2016,88,SOUND MIXING,Andy Nelson/Christopher Scarabosio/Stuart Wilson,Star Wars: The Force Awakens,False,76
2015,2016,88,VISUAL EFFECTS,Andrew Whitehurst/Paul Norris/Mark Ardington/Sara Bennett,Ex Machina,True,77
2015,2016,88,VISUAL EFFECTS,Andrew Jackson/Tom Wood/Dan Oliver/Andy Williams,Mad Max: Fury Road,False,78
2015,2016,88,VISUAL EFFECTS,Richard Stammers/Anders Langlands/Chris Lawrence/Steven Warner,The Martian,False,79
2015,2016,88,VISUAL EFFECTS,Rich McBride/Matthew Shumway/Jason Smith/Cameron Waldbauer,The Revenant,False,80
2015,2016,88,VISUAL EFFECTS,Roger Guyett/Patrick Tubach/Neal Scanlan/Chris Corbould,Star Wars: The Force Awakens,False,81
2015,2016,88,WRITING (Adapted Screenplay),Charles Randolph/Adam McKay,The Big Short,True,82
2015,2016,88,WRITING (Adapted Screenplay),Nick Hornby,Brooklyn,False,83
2015,2016,88,WRITING (Adapted Screenplay),Phyllis Nagy,Carol,False,84
2015,2016,88,WRITING (Adapted Screenplay),Drew Goddard,The Martian,False,85
2015,2016,88,WRITING (Adapted Screenplay),Emma Donoghue,Room,False,86
2015,2016,88,WRITING (Original Screenplay),Matt Charman/Ethan Coen/Joel Coen,Bridge of Spies,False,87
2015,2016,88,WRITING (Original Screenplay),Alex Garland,Ex Machina,False,88
2015,2016,88,WRITING (Original Screenplay),Pete Docter/Meg LeFauve/Josh Cooley/Ronnie del Carmen,Inside Out,False,89
2015,2016,88,WRITING (Original Screenplay),Josh Singer/Tom McCarthy,Spotlight,True,90
2015,2016,88,WRITING (Original Screenplay),Jonathan Herman/Andrea Berloff/S. Leigh Savidge/Alan Wenkus,Straight Outta Compton,False,91
2016,2017,89,ACTOR IN A LEADING ROLE,Casey Affleck,Manchester by the Sea,True,92
2016,2017,89,ACTOR IN A LEADING ROLE,Andrew Garfield,Hacksaw Ridge,False,93
2016,2017,89,ACTOR IN A LEADING ROLE,Ryan Gosling,La La Land,False,94
2016,2017,89,ACTOR IN A LEADING ROLE,Viggo Mortensen,Captain Fantastic,False,95
2016,2017,89,ACTOR IN A LEADING ROLE,Denzel Washington,Fences,False,96
2016,2017,89,ACTOR IN A SUPPORTING ROLE,Mahershala Ali,Moonlight,True,97
2016,2017,89,ACTOR IN A SUPPORTING ROLE,Jeff Bridges,Hell or High Water,False,98
2016,2017,89,ACTOR IN A SUPPORTING ROLE,Lucas Hedges,Manchester by the Sea,False,99
2016,2017,89,ACTOR IN A SUPPORTING ROLE,Dev Patel,Lion,False,100
2016,2017,89,ACTRESS IN A LEADING ROLE,Isabelle Huppert,Elle,False,101
2016,2017,89,ACTRESS IN A LEADING ROLE,Ruth Negga,Loving,False,102
2016,2017,89,ACTRESS IN A LEADING ROLE,Natalie Portman,Jackie,False,103
2016,2017,89,ACTRESS IN A LEADING ROLE,Emma Stone,La La Land,True,104
2016,2017,89,ACTRESS IN A LEADING ROLE,Meryl Streep,Florence Foster Jenkins,False,105
2016,2017,89,ACTRESS IN A SUPPORTING ROLE,Viola Davis,Fences,True,106
2016,2017,89,ACTRESS IN A SUPPORTING ROLE,Naomie Harris,Moonlight,False,107
2016,2017,89,ACTRESS IN A SUPPORTING ROLE,Nicole Kidman,Lion,False,108
2016,2017,89,ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,Hidden Figures,False,109
2016,2017,89,ACTRESS IN A SUPPORTING ROLE,Michelle Williams,Manchester by the Sea,False,110
2016,2017,89,ANIMATED FEATURE FILM,Travis Knight/Arianne Sutner,Kubo and the Two Strings,False,111
2016,2017,89,ANIMATED FEATURE FILM,John Musker/Ron Clements/Osnat Shurer,Moana,False,112
2016,2017,89,ANIMATED FEATURE FILM,Claude Barras/Max Karli,My Life as a Zucchini,False,113
2016,2017,89,ANIMATED FEATURE FILM,Michael Dudok de Wit/Toshio Suzuki,The Red Turtle,False,114
2016,2017,89,ANIMATED FEATURE FILM,Byron Howard/Rich Moore/Clark Spencer,Zootopia,True,115
2016,2017,89,CINEMATOGRAPHY,Bradford Young,Arrival,False,116
2016,2017,89,CINEMATOGRAPHY,Linus Sandgren,La La Land,True,117
2016,2017,89,CINEMATOGRAPHY,Greig Fraser,Lion,False,118
2016,2017,89,CINEMATOGRAPHY,James Laxton,Moonlight,False,119
2016,2017,89,CINEMATOGRAPHY,Rodrigo Prieto,Silence,False,120
2016,2017,89,COSTUME DESIGN,Consolata Boyle,Florence Foster Jenkins,False,121
2016,2017,89,COSTUME DESIGN,Madeline Fontaine,Jackie,False,122
2016,2017,89,COSTUME DESIGN,Mary Zophres,La La Land,False,123
2016,2017,89,DIRECTING,Denis Villeneuve,Arrival,False,124
2016,2017,89,DIRECTING,Mel Gibson,Hacksaw Ridge,False,125
2016,2017,89,DIRECTING,Damien Chazelle,La La Land,True,126
2016,2017,89,DIRECTING,Kenneth Lonergan,Manchester by the Sea,False,127
2016,2017,89,DIRECTING,Barry Jenkins,Moonlight,False,128
2016,2017,89,DOCUMENTARY (Feature),Gianfranco Rosi/Donatella Palermo,Fire at Sea,False,129
2016,2017,89,DOCUMENTARY (Feature),Raoul Peck/Rémi Grellety/Hébert Peck,I Am Not Your Negro,False,130
2016,2017,89,DOCUMENTARY (Feature),Roger Ross Williams/Julie Goldman,"Life, Animated",False,131
2016,2017,89,FILM EDITING,Joe Walker,Arrival,False,132
2016,2017,89,FILM EDITING,John Gilbert,Hacksaw Ridge,True,133
2016,2017,89,FILM EDITING,Jake Roberts,Hell or High Water,False,134
2016,2017,89,FILM EDITING,Tom Cross,La La Land,False,135
2016,2017,89,FILM EDITING,Nat Sanders/Joi McMillon,Moonlight,False,136
2016,2017,89,INTERNATIONAL FEATURE FILM,Denmark,Land of Mine,False,137
2016,2017,89,INTERNATIONAL FEATURE FILM,Sweden,A Man Called Ove,False,138
2016,2017,89,INTERNATIONAL FEATURE FILM,Iran,The Salesman,True,139
2016,2017,89,INTERNATIONAL FEATURE FILM,Germany,Toni Erdmann,False,140
2016,2017,89,MAKEUP AND HAIRSTYLING,Eva von Bahr/Love Larson,A Man Called Ove,False,141
2016,2017,89,MAKEUP AND HAIRSTYLING,Joel Harlow/Richard Alonzo,Star Trek Beyond,False,142
2016,2017,89,MUSIC (Original Score),Mica Levi,Jackie,False,143
2016,2017,89,MUSIC (Original Score),Justin Hurwitz,La La Land,True,144
2016,2017,89,MUSIC (Original Score),Dustin O'Halloran/Hauschka,Lion,False,145
2016,2017,89,MUSIC (Original Score),Nicholas Britell,Moonlight,False,146
2016,2017,89,MUSIC (Original Song),Justin Hurwitz/Benj Pasek/Justin Paul,La La Land,False,147
2016,2017,89,MUSIC (Original Song),Justin Hurwitz/Benj Pasek/Justin Paul,La La Land,True,148
2016,2017,89,MUSIC (Original Song),Lin-Manuel Miranda,Moana,False,149
2016,2017,89,BEST PICTURE,Shawn Levy/Dan Levine/Aaron Ryder/David Linde,Arrival,False,150
2016,2017,89,BEST PICTURE,Scott Rudin/Denzel Washington/Todd Black,Fences,False,151
2016,2017,89,BEST PICTURE,Bill Mechanic/David Permut,Hacksaw Ridge,False,152
2016,2017,89,BEST PICTURE,Carla Hacken/Julie Yorn,Hell or High Water,False,153
2016,2017,89,BEST PICTURE,Donna Gigliotti/Peter Chernin/Jenno Topping/Pharrell Williams/Theodore Melfi,Hidden Figures,False,154
2016,2017,89,BEST PICTURE,Fred Berger/Jordan Horowitz/Marc Platt,La La Land,False,155
2016,2017,89,BEST PICTURE,Emile Sherman/Iain Canning/Angie Fielder,Lion,False,156
2016,2017,89,BEST PICTURE,Matt Damon/Kimberly Steward/Chris Moore/Lauren Beck/Kevin J. Walsh,Manchester by the Sea,False,157
