title,audienceScore,tomatoMeter,popularity,vote_average,vote_count
Instant Family,82.0,81.0,26.485,7.6,2125.0
Funan,76.0,93.0,4.978,7.1,39.0
Private Desert,63.0,87.0,4.039,0.0,0.0
The Capote Tapes,88.0,93.0,2.734,0.0,0.0
Raya and the Last Dragon,97.0,94.0,324.327,8.1,4530.0
Mr. Six,79.0,83.0,16.147,6.9,92.0
Whose Streets?,73.0,98.0,2.919,5.8,19.0
A Crime on the Bayou,80.0,100.0,1.425,0.0,0.0
Afterimage,75.0,86.0,4.89,6.7,53.0
A Midsummer Night's Dream,67.0,100.0,2.239,6.4,8.0
Nine Days,72.0,89.0,17.703,7.5,23.0
The Hand of God,76.0,83.0,8.242,0.0,0.0
Nasrin,100.0,93.0,2.749,10.0,1.0
Zama,56.0,96.0,7.618,6.8,110.0
The Girl in the Book,55.0,93.0,4.715,5.9,125.0
Bad Axe,100.0,96.0,4.731,0.0,0.0
The Wild Pear Tree,83.0,94.0,10.179,7.6,165.0
Violent Night,88.0,73.0,,,
Rams,83.0,95.0,3.79,7.3,7.0
Rams,83.0,95.0,10.392,7.1,196.0
Rams,83.0,95.0,4.565,6.5,36.0
The Divine Fury,90.0,44.0,32.878,6.7,173.0
Lightyear,84.0,74.0,16.909,0.0,0.0
Waltair Veerayya,81.0,80.0,,,
Frantz,85.0,91.0,17.167,7.4,545.0
The Personal History of David Copperfield,54.0,92.0,14.979,6.5,304.0
The Black Phone,88.0,83.0,23.883,0.0,0.0
Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,52.0,88.0,2.996,7.0,8.0
Palm Springs,89.0,94.0,14.788,7.3,1859.0
Zero Days,75.0,90.0,8.556,7.3,167.0
Puzzle,75.0,83.0,10.763,6.5,120.0
Puzzle,75.0,83.0,0.6,0.0,0.0
Don't Come Back From the Moon,70.0,88.0,,,
The Post,73.0,88.0,24.383,7.0,3773.0
Rushed,89.0,90.0,,,
The 24th,83.0,79.0,2.679,4.9,4.0
I'm Not Ashamed,82.0,20.0,76.516,7.5,190.0
Poop Talk,64.0,88.0,,,
The Brand New Testament,69.0,82.0,12.524,6.7,1284.0
Florence Foster Jenkins,68.0,88.0,11.814,6.7,1213.0
Tully,74.0,87.0,14.353,6.8,1115.0
Meet the Patels,76.0,87.0,,,
The Diary of a Teenage Girl,73.0,95.0,12.863,6.6,593.0
Sing Street,92.0,95.0,14.673,7.9,1788.0
Heart of a Dog,64.0,96.0,4.105,6.8,34.0
Front Cover,51.0,83.0,2.646,6.8,13.0
Bad Blood: The Movie,81.0,100.0,,,
The Night Eats the World,55.0,87.0,11.932,6.0,459.0
The Donor Party,89.0,0.0,,,
Don't Breathe 2,85.0,43.0,271.056,7.6,1137.0
Billie,76.0,97.0,3.213,7.0,13.0
Logan Lucky,76.0,92.0,16.484,6.7,2691.0
A Quiet Place,83.0,96.0,70.673,7.4,10920.0
Sami Blood,84.0,97.0,5.747,7.3,90.0
"Hunt Her, Kill Her",88.0,54.0,,,
Studio 54: The Documentary,74.0,91.0,,,
Dune,90.0,83.0,2056.585,8.0,3792.0
Dune,90.0,83.0,13.703,1.5,2.0
Very Semi-Serious,90.0,88.0,2.495,6.6,9.0
40 Years in the Making: The Magic Music Movie,97.0,93.0,,,
Over the Limit,77.0,100.0,2.09,7.3,18.0
I Am Not Madame Bovary,68.0,83.0,3.279,6.7,46.0
The Good Catholic,81.0,43.0,7.354,5.6,38.0
A Skin So Soft,55.0,94.0,1.296,6.3,10.0
This Is Congo,84.0,95.0,,,
Colliding Dreams,62.0,94.0,3.671,6.9,9.0
Mouthpiece,65.0,91.0,1.344,5.3,3.0
Spies in Disguise,92.0,77.0,38.829,7.7,2094.0
Spirit Game: Pride of a Nation,100.0,88.0,,,
Promare,93.0,97.0,24.869,7.3,152.0
Whitney,75.0,88.0,5.742,5.5,70.0
Whitney,75.0,88.0,10.288,7.5,139.0
Billie Eilish: The World's a Little Blurry,95.0,96.0,15.12,8.7,197.0
1000 Rupee Note,92.0,80.0,2.155,6.9,10.0
Hagazussa: A Heathen's Curse,51.0,93.0,,,
Spettacolo,100.0,93.0,,,
Compartment No. 6,85.0,93.0,5.721,7.7,14.0
You Won't Be Alone,69.0,93.0,2.824,0.0,0.0
The Workshop,58.0,88.0,5.377,6.0,101.0
Nope,69.0,83.0,,,
The Teacher,81.0,91.0,1.196,8.0,1.0
The Teacher,81.0,91.0,3.679,7.0,68.0
The Teacher,81.0,91.0,0.812,0.0,0.0
The Teacher,81.0,91.0,1.413,5.3,4.0
The Teacher,81.0,91.0,1.995,5.4,14.0
The Teacher,81.0,91.0,6.181,6.5,162.0
Neptune Frost,75.0,96.0,1.393,0.0,0.0
The Automat,86.0,98.0,1.715,0.0,0.0
Hostage to the Devil,89.0,60.0,3.118,5.0,18.0
All Saints,72.0,95.0,19.879,6.2,44.0
Ingrid Goes West,71.0,85.0,11.771,6.5,717.0
Sometimes Always Never,66.0,82.0,4.769,6.4,29.0
El último traje,88.0,78.0,,,
Goldie,60.0,95.0,0.894,10.0,1.0
Goldie,60.0,95.0,3.165,5.4,8.0
Keep Quiet,75.0,100.0,,,
Brawl in Cell Block 99,74.0,90.0,15.375,7.0,985.0
Tales of an Immoral Couple,92.0,57.0,4.518,5.0,49.0
Riders of Justice,89.0,96.0,17.413,7.3,224.0
Call Her Ganda,78.0,100.0,5.595,5.6,11.0
Marry Me,92.0,61.0,113.911,0.0,0.0
A Silent Voice,93.0,95.0,143.608,8.4,2618.0
Neerja,84.0,100.0,7.35,7.4,172.0
Bluebird,89.0,100.0,3.236,6.0,4.0
Bluebird,89.0,100.0,0.6,0.0,0.0
Bharath Enna Njan,84.0,83.0,,,
Blue My Mind,66.0,81.0,6.003,6.8,168.0
A Quiet Passion,48.0,92.0,10.5,6.2,142.0
Occupation,87.0,48.0,11.628,4.4,138.0
Occupation,87.0,48.0,1.073,9.5,2.0
Four Good Days,81.0,55.0,32.88,7.1,46.0
Close Range,27.0,86.0,8.252,6.0,152.0
Banana Split,59.0,89.0,,,
Harpoon,59.0,97.0,2.183,5.8,4.0
Harpoon,59.0,97.0,6.903,6.3,110.0
Ordinary Love,69.0,93.0,9.705,6.9,82.0
Minions: The Rise of Gru,89.0,70.0,33.833,0.0,0.0
Weird: The Al Yankovic Story,82.0,83.0,,,
INU-OH,88.0,91.0,1.4,4.0,1.0
Violet,67.0,82.0,17.504,5.0,2.0
Color Out of Space,82.0,86.0,21.972,6.0,855.0
First Cow,64.0,96.0,9.961,7.1,215.0
Give or Take,83.0,95.0,1.4,0.0,0.0
The Trip to Spain,64.0,83.0,5.127,6.6,72.0
I Am Not a Witch,73.0,96.0,4.862,6.7,78.0
Princess of the Row,92.0,88.0,2.552,6.5,4.0
Non-Fiction,49.0,86.0,6.461,5.4,172.0
I Do Not Care If We Go Down in History as Barbarians,60.0,96.0,2.304,7.2,18.0
Hala,55.0,86.0,6.111,6.4,44.0
Indivisible,86.0,74.0,7.693,7.0,61.0
Indivisible,86.0,74.0,5.368,6.8,149.0
Mosul,83.0,84.0,8.769,6.7,149.0
Mosul,83.0,84.0,13.38,7.3,90.0
Wildland,26.0,93.0,5.499,5.6,21.0
Werewolves Within,80.0,86.0,183.821,6.2,186.0
Sell/Buy/Date,89.0,71.0,5.326,0.0,0.0
Band Aid,73.0,88.0,7.742,6.4,126.0
The Burial of Kojo,79.0,100.0,3.523,6.8,19.0
Detroit,79.0,82.0,15.451,7.3,1326.0
Marianne & Leonard: Words of Love,85.0,79.0,4.525,6.6,18.0
Served Like a Girl,78.0,100.0,3.862,5.6,5.0
Be Natural: The Untold Story of Alice Guy-Blaché,96.0,96.0,6.099,7.2,21.0
White Rabbit,62.0,88.0,1.814,5.7,8.0
White Rabbit,62.0,88.0,0.6,0.0,0.0
Closet Monster,73.0,82.0,7.722,7.1,216.0
Infidel,86.0,58.0,8.514,5.5,45.0
Infidel,86.0,58.0,0.6,5.5,2.0
Oddball,62.0,87.0,10.875,6.8,63.0
Theeb,75.0,97.0,,,
Skin,83.0,76.0,5.972,6.7,92.0
Skin,83.0,76.0,0.6,0.0,0.0
Skin,83.0,76.0,12.441,7.0,250.0
Skin,83.0,76.0,0.84,5.7,3.0
Firecrackers,60.0,96.0,2.383,6.1,10.0
Happening,74.0,99.0,5.245,0.0,0.0
Undergods,38.0,81.0,3.335,6.0,27.0
In the Heights,94.0,94.0,23.287,7.4,360.0
TransFatty Lives,92.0,88.0,,,
Tiny Tim: King for a Day,50.0,85.0,2.842,5.4,5.0
The Misguided,90.0,57.0,1.387,1.0,1.0
16 Bars,100.0,80.0,,,
A Writer's Odyssey,76.0,93.0,15.467,7.4,107.0
Road Games,43.0,84.0,3.728,5.6,50.0
The Quiet Girl,92.0,96.0,1.658,0.0,0.0
Trophy,81.0,96.0,3.774,7.4,15.0
Sublet,80.0,92.0,2.581,8.1,9.0
The Lovers,42.0,82.0,5.17,5.5,69.0
The Lovers,42.0,82.0,15.0,4.7,59.0
The Lovers,42.0,82.0,0.84,0.0,0.0
Scenes from an Empty Church,80.0,82.0,,,
Knife + Heart,71.0,81.0,,,
Invisible Life,89.0,94.0,7.625,8.0,206.0
Servants,50.0,96.0,1.129,6.4,5.0
The Great Buster: A Celebration,86.0,94.0,3.98,7.1,23.0
Straight Outta Compton,91.0,88.0,34.597,7.8,2978.0
Lost Inside,93.0,100.0,,,
Bala,87.0,77.0,3.972,6.8,43.0
Border,76.0,97.0,16.355,6.8,567.0
Hunter Hunter,63.0,94.0,14.062,6.7,132.0
Drishyam 2,97.0,67.0,4.341,8.0,54.0
My Prince Edward,86.0,100.0,1.177,7.6,8.0
A Space Program,83.0,87.0,,,
Hounds of Love,70.0,88.0,8.008,6.1,260.0
Maya Angelou and Still I Rise,88.0,96.0,,,
Saving Banksy,82.0,87.0,2.92,6.4,31.0
You Are Not My Mother,51.0,88.0,0.939,0.0,0.0
Green Room,75.0,90.0,18.944,6.7,2019.0
Escape From Mogadishu,88.0,95.0,,,
Woman in Motion,96.0,100.0,,,
Raise Hell: The Life & Times of Molly Ivins,100.0,95.0,3.169,7.2,5.0
12 Mighty Orphans,94.0,63.0,20.53,7.9,54.0
The Father,92.0,98.0,1.14,4.7,5.0
The Father,92.0,98.0,22.684,8.2,1543.0
The Father,92.0,98.0,0.6,0.0,0.0
Magnus,77.0,81.0,2.667,6.8,37.0
Wife of a Spy,65.0,89.0,6.177,6.3,17.0
Poupelle of Chimney Town,78.0,83.0,4.186,6.0,3.0
Unicorn Wars,89.0,83.0,,,
The Rose Maker,88.0,95.0,3.53,6.8,14.0
It's Not Yet Dark,65.0,95.0,,,
Who You Think I Am,80.0,88.0,10.1,6.5,235.0
The Phantom,75.0,100.0,2.663,6.5,2.0
Two of Us,76.0,98.0,6.022,7.1,85.0
Midnight,69.0,100.0,5.797,7.8,17.0
78/52,79.0,88.0,7.499,7.4,93.0
Kung Fu Panda 3,78.0,86.0,61.26,6.8,4402.0
Heneral Luna,89.0,75.0,3.363,7.6,31.0
Just Mercy,99.0,85.0,19.638,8.0,1499.0
What We Do in the Shadows,87.0,96.0,,,
The Brink,58.0,84.0,3.734,5.9,31.0
The Brink,58.0,84.0,4.117,6.4,18.0
Inventing Tomorrow,90.0,100.0,1.839,6.7,6.0
Battle for Saipan,93.0,33.0,,,
Instant Dreams,88.0,72.0,3.225,8.3,11.0
Guillermo del Toro's Pinocchio,90.0,97.0,,,
The Revenant,84.0,78.0,47.048,7.5,15117.0
Licorice Pizza,66.0,91.0,13.886,0.0,0.0
The Devil You Know,82.0,33.0,,,
Creed,89.0,95.0,52.87,7.4,5665.0
Forsaken,87.0,42.0,2.729,3.9,19.0
Forsaken,87.0,42.0,13.997,6.0,250.0
Forsaken,87.0,42.0,3.284,4.2,26.0
Forsaken,87.0,42.0,0.876,5.0,1.0
The Public Image Is Rotten,83.0,63.0,,,
What Is Democracy?,56.0,96.0,,,
The Woman Who Ran,52.0,100.0,2.484,6.2,39.0
Kusama: Infinity,90.0,94.0,,,
Assassins,82.0,98.0,50.103,6.3,3.0
The Departure,100.0,100.0,1.205,0.0,0.0
The Departure,100.0,100.0,0.6,0.0,0.0
Blue Jay,78.0,91.0,8.063,7.1,331.0
Blue Jay,78.0,91.0,1.915,6.0,2.0
Nothing Like a Dame,77.0,98.0,4.715,7.0,33.0
Vengeance,86.0,81.0,,,
Martin Eden,70.0,87.0,7.451,7.0,506.0
Shang-Chi and the Legend of the Ten Rings,98.0,91.0,3641.782,7.9,2201.0
Aladdin,94.0,57.0,70.902,7.1,8155.0
A River Below,83.0,100.0,2.249,7.1,7.0
See for Me,60.0,81.0,2.0,0.0,0.0
GameStop: Rise of the Players,89.0,79.0,6.173,5.0,1.0
Blockers,51.0,84.0,19.134,6.3,1586.0
Mortal Kombat Legends: Scorpion's Revenge,85.0,90.0,44.387,8.3,1036.0
Only the Animals,74.0,93.0,7.163,6.6,140.0
Hit the Road,78.0,95.0,1.124,0.0,0.0
Rebels on Pointe,100.0,100.0,,,
The Music of Strangers: Yo-Yo Ma & the Silk Road Ensemble,84.0,85.0,,,
Everybody's Everything,99.0,100.0,9.703,8.6,205.0
Becoming Astrid,80.0,97.0,9.373,7.3,95.0
The Golem,42.0,86.0,8.996,5.9,113.0
Dolemite Is My Name,91.0,97.0,12.012,7.1,867.0
Dead Pigs,51.0,97.0,2.461,6.9,39.0
Walking on Water,89.0,88.0,2.25,6.3,12.0
Paterson,72.0,96.0,10.054,7.1,1372.0
Meru,91.0,88.0,8.755,7.4,178.0
Holy Spider,70.0,83.0,,,
Monkey Kingdom,76.0,93.0,10.999,6.9,103.0
My Golden Days,51.0,90.0,5.798,6.7,132.0
Pacifiction,100.0,86.0,,,
The Wind,48.0,81.0,7.899,5.7,147.0
The Wind,48.0,81.0,0.6,0.0,0.0
The Wind,48.0,81.0,0.6,0.0,0.0
That Summer,60.0,83.0,2.376,6.5,11.0
Terra Willy,87.0,100.0,,,
American Insurrection,38.0,86.0,2.492,0.0,0.0
Belfast,92.0,86.0,33.701,6.0,1.0
The Second Time Around,92.0,82.0,0.695,8.0,2.0
The Rider,82.0,97.0,12.409,7.3,339.0
Stray,70.0,96.0,2.627,6.0,1.0
Stray,70.0,96.0,5.822,5.8,32.0
Stray,70.0,96.0,2.585,4.2,15.0
Stray,70.0,96.0,4.212,7.0,13.0
Close,85.0,91.0,19.642,5.8,658.0
The Blazing World,84.0,59.0,1.162,6.0,2.0
The Blazing World,84.0,59.0,5.98,4.0,2.0
Waterman,98.0,100.0,,,
Cold Brook,83.0,80.0,,,
Dear Comrades!,79.0,93.0,4.255,7.4,49.0
The Booksellers,76.0,90.0,2.527,6.9,19.0
Final Account,91.0,93.0,2.907,5.9,5.0
Cha Cha Real Smooth,61.0,85.0,6.161,8.5,1.0
Becoming Cousteau,85.0,98.0,5.268,0.0,0.0
The Island,80.0,100.0,2.344,6.6,36.0
The Island,80.0,100.0,0.6,0.0,0.0
The Lost City,83.0,79.0,135.781,9.0,4.0
Among Wolves,92.0,100.0,2.675,7.0,3.0
The Tutor,92.0,7.0,1.781,8.0,10.0
The Bleeding Edge,83.0,100.0,8.044,6.6,56.0
Cop Car,53.0,82.0,13.7,5.9,644.0
"Hale County This Morning, This Evening",39.0,97.0,4.272,6.3,47.0
Shine,89.0,50.0,,,
Brian and Charles,74.0,85.0,,,
Finding You,91.0,53.0,112.187,6.5,24.0
Echo Boomers,94.0,35.0,9.439,5.9,60.0
Holy Air,83.0,90.0,0.816,5.8,5.0
Squeal,80.0,89.0,,,
Little Sister,55.0,94.0,,,
X,75.0,94.0,99.026,7.4,24.0
Dark Waters,95.0,89.0,18.363,7.5,1339.0
Blood From Stone,88.0,100.0,2.586,8.0,2.0
Jawline,50.0,97.0,2.472,5.8,12.0
Mosley,83.0,60.0,2.7,6.3,13.0
The Freedom to Marry,94.0,94.0,,,
Shazam! Fury of the Gods,87.0,51.0,,,
The Black Prince,90.0,7.0,2.797,4.7,11.0
Here Before,52.0,86.0,0.759,4.0,1.0
Delia's Gone,83.0,31.0,,,
Ben Is Back,69.0,82.0,8.811,6.6,733.0
The Climb,80.0,90.0,10.904,6.8,701.0
The Climb,80.0,90.0,0.84,6.0,2.0
The Climb,80.0,90.0,7.472,6.3,75.0
The Climb,80.0,90.0,0.635,5.5,1.0
Rock Camp: The Movie,91.0,89.0,,,
You Will Die at Twenty,79.0,89.0,2.203,7.1,22.0
Sooryavanshi,83.0,36.0,90.252,6.3,29.0
Dance Academy: The Movie,80.0,100.0,6.709,7.1,130.0
"Anne at 13,000 ft",50.0,89.0,,,
The Secret Life of Pets 2,90.0,60.0,69.788,7.0,2303.0
Life and Nothing More,83.0,93.0,2.161,7.3,12.0
Working Woman,94.0,98.0,2.454,6.5,11.0
The Extraordinary Journey of the Fakir,83.0,60.0,10.224,7.0,225.0
Pray: The Story of Patrick Peyton,100.0,100.0,,,
Jujutsu Kaisen 0: The Movie,98.0,98.0,,,
After the Storm,80.0,96.0,8.938,7.3,213.0
Fantastic Fungi,94.0,100.0,,,
On Her Shoulders,81.0,96.0,2.843,6.0,12.0
3100: Run and Become,88.0,89.0,,,
Anna,81.0,33.0,0.6,5.3,3.0
Anna,81.0,33.0,1.269,6.1,11.0
Anna,81.0,33.0,1.755,7.5,17.0
Anna,81.0,33.0,26.375,6.7,1900.0
Anna,81.0,33.0,2.321,5.5,6.0
Official Secrets,89.0,82.0,17.596,7.3,604.0
Support the Girls,60.0,91.0,6.743,6.2,111.0
Alone,55.0,91.0,0.6,5.0,2.0
Alone,55.0,91.0,66.445,6.2,358.0
Alone,55.0,91.0,0.6,6.0,3.0
Alone,55.0,91.0,1.684,5.2,23.0
Alone,55.0,91.0,14.525,6.0,96.0
Alone,55.0,91.0,7.123,5.6,427.0
Alone,55.0,91.0,1.053,0.0,0.0
A Fantastic Woman,77.0,94.0,12.458,7.1,535.0
Christine,71.0,89.0,9.442,6.8,279.0
Everything Everywhere All at Once,86.0,94.0,4.373,0.0,0.0
A Bigger Splash,58.0,89.0,12.76,6.2,572.0
Where Is Kyra?,51.0,81.0,4.441,5.7,42.0
The Overnight,54.0,82.0,6.733,6.0,270.0
Asia,69.0,91.0,8.752,4.9,7.0
They/Them/Us,38.0,83.0,,,
Minamata,90.0,78.0,10.815,6.9,84.0
Kills on Wheels,72.0,89.0,4.005,7.2,40.0
The Killer,91.0,79.0,9.394,6.2,106.0
The Spy Behind Home Plate,85.0,77.0,,,
Not Going Quietly,86.0,100.0,3.158,0.0,0.0
Stefan Zweig: Farewell to Europe,67.0,93.0,3.472,6.7,56.0
Moka,70.0,85.0,5.027,6.0,64.0
Atlantics,66.0,96.0,9.903,6.7,165.0
Till Death,55.0,90.0,26.534,6.7,232.0
American Relapse,84.0,100.0,2.439,6.3,4.0
Panga,83.0,94.0,3.387,6.9,19.0
Holler,75.0,92.0,2.355,6.5,15.0
Saand Ki Aankh,91.0,56.0,1.46,7.3,13.0
Paulina,64.0,90.0,2.15,6.5,37.0
Daughter,100.0,94.0,1.771,7.3,3.0
Daughter,100.0,94.0,0.6,5.0,1.0
Daughter,100.0,94.0,2.087,6.1,28.0
Daughter,100.0,94.0,0.6,3.0,1.0
Daughter,100.0,94.0,0.69,0.0,0.0
The Witch,60.0,90.0,34.932,6.8,5074.0
If the Dancer Dances,93.0,93.0,0.6,0.0,0.0
Division 19,91.0,9.0,2.769,5.0,2.0
Respect,95.0,68.0,25.358,6.8,111.0
Brother's Keeper,100.0,100.0,1.904,8.0,1.0
Tokyo Ghoul 'S',89.0,57.0,30.006,6.9,50.0
Francofonia,46.0,87.0,3.81,6.6,54.0
The Green Knight,50.0,89.0,135.631,6.6,505.0
Of Mind and Music,88.0,71.0,,,
Ted K,51.0,85.0,1.296,0.0,0.0
Let the Sunshine In,32.0,87.0,8.972,5.2,144.0
Godzilla vs. Kong,91.0,75.0,353.352,7.9,7195.0
The First Film,71.0,91.0,2.497,6.2,5.0
The Land of Steady Habits,47.0,83.0,7.324,5.4,118.0
Humpback Whales,85.0,100.0,2.768,7.3,12.0
Inside Out,89.0,98.0,78.818,7.9,17113.0
Disturbing the Peace,68.0,100.0,6.799,4.8,70.0
Disturbing the Peace,68.0,100.0,3.416,7.6,7.0
Pleasure,61.0,87.0,14.213,6.3,16.0
Pleasure,61.0,87.0,0.684,0.0,0.0
Shin Godzilla,75.0,86.0,23.155,7.0,755.0
Titane,85.0,90.0,82.128,6.7,332.0
Midnight Family,80.0,97.0,5.074,7.3,49.0
The Proposal,38.0,97.0,2.03,6.0,1.0
The Proposal,38.0,97.0,0.6,6.0,1.0
Rust Creek,62.0,86.0,15.197,6.4,196.0
Restoring Tomorrow,90.0,100.0,,,
Killing for Love,82.0,100.0,2.526,6.5,31.0
The Dark Horse,77.0,97.0,,,
Life Itself,83.0,14.0,11.893,7.3,375.0
Ralph Breaks the Internet,64.0,88.0,84.128,7.2,5873.0
Always in Season,100.0,85.0,3.611,7.0,3.0
Incitement,79.0,96.0,2.065,6.4,9.0
The Other Fellow,80.0,100.0,,,
Lunana: A Yak in the Classroom,87.0,98.0,0.904,6.4,5.0
3 Faces,71.0,98.0,3.917,6.6,83.0
On the Beach at Night Alone,67.0,92.0,6.688,6.5,87.0
Honeyland,86.0,100.0,8.897,8.0,187.0
The Age of Shadows,83.0,100.0,9.192,7.3,229.0
The Conjuring 2,81.0,80.0,90.429,7.3,6411.0
Say Your Prayers,47.0,100.0,,,
"Monrovia, Indiana",50.0,84.0,3.23,6.3,16.0
Same Kind of Different as Me,85.0,40.0,13.799,6.9,192.0
"I, Daniel Blake",85.0,92.0,10.42,7.8,1061.0
The Fabelmans,83.0,92.0,,,
Maiden,97.0,98.0,3.985,8.0,23.0
The Way I See It,93.0,85.0,5.024,7.6,19.0
Zootopia,92.0,98.0,72.573,7.7,13383.0
Jay and Silent Bob Reboot,93.0,64.0,12.346,5.8,320.0
The People vs. Fritz Bauer,76.0,85.0,7.277,6.9,141.0
Steve Jobs,73.0,85.0,11.946,6.8,3459.0
The World Before Your Feet,75.0,100.0,2.606,7.8,8.0
Hustle,93.0,93.0,,,
Ocean Waves,64.0,89.0,,,
A Man Called Ove,87.0,91.0,10.768,7.6,746.0
Duckweed,80.0,86.0,3.188,6.6,19.0
Enter the Fat Dragon,91.0,64.0,7.816,6.2,74.0
The Loneliest Boy in the World,93.0,38.0,,,
Lion,91.0,84.0,16.954,8.1,5498.0
Lion,91.0,84.0,0.93,4.0,2.0
Elvis,94.0,77.0,5.809,0.0,0.0
Elvis,94.0,77.0,5.162,0.0,0.0
Elvis,94.0,77.0,17.662,0.0,0.0
Penguin Highway,76.0,100.0,7.294,7.1,143.0
Val,89.0,94.0,8.156,7.2,44.0
Val,89.0,94.0,4.57,6.0,5.0
RRR,94.0,95.0,,,
June Again,90.0,100.0,1.975,7.5,5.0
Alive and Kicking,93.0,100.0,3.103,6.6,14.0
The Suicide Squad,82.0,90.0,654.329,7.8,4735.0
Polina,62.0,85.0,6.067,6.7,97.0
Donbass,75.0,88.0,3.297,6.7,48.0
The Last Vermeer,91.0,69.0,6.287,6.7,37.0
A Simple Favor,73.0,84.0,21.144,6.6,3351.0
MLK/FBI,67.0,98.0,2.732,6.0,2.0
Lasseter's Bones,66.0,88.0,,,
2 Hearts,87.0,17.0,11.345,7.8,311.0
Entertainment,45.0,82.0,3.443,5.6,51.0
My Policeman,96.0,46.0,,,
Two Step,68.0,100.0,,,
Blood on Her Name,53.0,96.0,7.074,5.3,27.0
Saloum,69.0,96.0,1.694,6.0,2.0
Diane,77.0,88.0,3.25,6.6,22.0
Nakom,62.0,89.0,1.961,5.8,5.0
Private Life,78.0,94.0,8.16,7.0,247.0
The Wild Boys,82.0,91.0,5.027,6.5,104.0
Judas and the Black Messiah,95.0,97.0,17.873,7.5,826.0
Black Panther,79.0,96.0,102.447,7.4,18134.0
Pinocchio,40.0,84.0,39.875,6.6,1156.0
Pinocchio,40.0,84.0,0.905,5.0,3.0
Pinocchio,40.0,84.0,0.6,0.0,0.0
Hichki,82.0,50.0,6.6,7.6,89.0
Miss Virginia,83.0,50.0,3.128,7.2,5.0
The Storied Life of A.J. Fikry,88.0,35.0,,,
Days of the Bagnold Summer,68.0,92.0,3.734,6.3,27.0
Rumble: The Indians Who Rocked the World,89.0,91.0,2.625,8.6,7.0
The Pez Outlaw,83.0,100.0,,,
Happy Hunting,48.0,100.0,5.007,5.1,81.0
Embers,51.0,83.0,4.55,5.6,53.0
José,75.0,87.0,2.761,5.9,11.0
102 Not Out,82.0,50.0,3.52,7.7,35.0
Microbe and Gasoline,72.0,92.0,7.103,6.1,112.0
Socrates,83.0,90.0,,,
The Uncondemned,100.0,100.0,0.689,7.0,3.0
Ainu Mosir,67.0,100.0,2.797,7.0,2.0
Far From the Tree,95.0,90.0,3.865,7.8,8.0
All the Rage,91.0,67.0,,,
El Camino: A Breaking Bad Movie,81.0,92.0,25.399,6.9,3492.0
The United States of Insanity,94.0,100.0,,,
Escape From Extinction,100.0,57.0,,,
Ask Me to Dance,75.0,89.0,,,
Harold and Lillian: A Hollywood Love Story,89.0,97.0,3.832,6.8,16.0
Finding Kendrick Johnson,71.0,100.0,,,
The Most Dangerous Year,100.0,92.0,,,
The Conjuring: The Devil Made Me Do It,83.0,55.0,274.394,7.8,3868.0
Zombieland: Double Tap,88.0,68.0,66.863,7.0,4110.0
The Tragedy of Macbeth,75.0,92.0,7.334,0.0,0.0
Wheel of Fortune and Fantasy,81.0,99.0,2.758,7.1,19.0
Fatman,84.0,44.0,16.196,5.5,474.0
Possum,53.0,90.0,6.122,6.5,128.0
Imperium,64.0,84.0,19.349,6.5,1028.0
This Is Not What I Expected,87.0,78.0,3.011,7.0,32.0
Swan Song,75.0,92.0,3.775,7.9,7.0
Swan Song,75.0,92.0,19.758,0.0,0.0
Let It Be Morning,100.0,88.0,0.6,0.0,0.0
On These Grounds,80.0,88.0,1.307,0.0,0.0
The Crime of Monsieur Lange,81.0,100.0,,,
Dear Evan Hansen,88.0,29.0,32.434,6.8,59.0
Ash Is Purest White,70.0,99.0,6.373,6.8,181.0
My Heart Can't Beat Unless You Tell It To,57.0,98.0,3.961,6.4,10.0
The Road Movie,52.0,88.0,2.094,7.1,15.0
Fort Tilden,48.0,88.0,,,
Mike Wallace Is Here,86.0,95.0,5.092,6.3,11.0
The Menu,76.0,88.0,1.828,7.3,4.0
Portrait of a Lady on Fire,92.0,97.0,15.905,8.3,1579.0
The Fits,54.0,96.0,6.29,6.5,92.0
The Swimmer,85.0,92.0,0.6,0.0,0.0
The Swimmer,85.0,92.0,4.141,1.0,1.0
Song of Lahore,84.0,100.0,3.266,6.6,7.0
Jimmy Carter: Rock & Roll President,83.0,95.0,2.951,7.2,5.0
Bad Luck Banging or Loony Porn,57.0,90.0,24.325,6.7,41.0
Pin Cushion,73.0,90.0,3.871,6.6,34.0
The Sparring Partner,100.0,100.0,,,
Jockey,59.0,93.0,4.045,0.0,0.0
Utama,88.0,96.0,,,
The Last Full Measure,96.0,60.0,11.194,7.6,310.0
Penguins,80.0,92.0,4.225,7.0,24.0
Girls Trip,78.0,92.0,32.588,6.8,1284.0
I Believe in Unicorns,49.0,84.0,,,
Hold Your Fire,55.0,95.0,1.4,0.0,0.0
The Meaning of Hitler,31.0,85.0,2.037,0.0,0.0
Marlina the Murderer in Four Acts,79.0,98.0,3.769,6.8,51.0
Gunda,68.0,98.0,3.664,7.6,13.0
Heal the Living,67.0,92.0,6.412,6.5,168.0
American Underdog,98.0,75.0,20.654,6.4,13.0
Aquarela,32.0,86.0,2.979,6.4,11.0
Results,36.0,85.0,7.012,5.1,144.0
Baby Frankenstein,86.0,83.0,2.105,3.5,2.0
Peggy Guggenheim: Art Addict,81.0,90.0,5.844,6.8,21.0
