title,audienceScore,tomatoMeter,popularity,vote_average,vote_count
45 Years,67.0,97.0,12.27,6.6,585.0
Julieta,74.0,83.0,10.83,7.0,692.0
I Love My Dad,83.0,73.0,,,
Flee,92.0,98.0,4.306,8.5,7.0
Güeros,81.0,93.0,,,
Time,51.0,98.0,0.6,0.0,0.0
Time,51.0,98.0,6.511,6.9,70.0
Time,51.0,98.0,0.84,0.0,0.0
Obit.,77.0,93.0,,,
Landfill Harmonic,82.0,100.0,3.31,7.3,9.0
La La Land,81.0,91.0,28.81,7.9,13717.0
Censor,57.0,89.0,2.155,6.0,2.0
Censor,57.0,89.0,9.364,6.1,91.0
Newtown,69.0,94.0,4.102,6.7,41.0
Stan & Ollie,83.0,92.0,13.724,7.0,801.0
"Paul, Apostle of Christ",81.0,48.0,40.543,7.4,233.0
"Love, Gilda",81.0,89.0,,,
Line Walker 2: Invisible Spy,73.0,86.0,4.01,6.9,32.0
The Resurrection of Gavin Stone,84.0,54.0,2.977,6.6,17.0
The Captain,84.0,83.0,15.975,7.1,284.0
The Captain,84.0,83.0,6.771,7.1,72.0
Kedi,85.0,98.0,6.239,7.6,229.0
Pandas,81.0,100.0,2.012,8.3,39.0
Frank & Penelope,81.0,25.0,,,
In the Aisles,64.0,90.0,4.273,7.0,105.0
Letters From Baghdad,64.0,84.0,,,
God's Country,50.0,88.0,,,
Do You Believe?,83.0,25.0,24.582,6.7,103.0
Dealt,84.0,96.0,3.581,7.5,24.0
Antiquities,84.0,100.0,3.05,5.3,4.0
Star Wars: The Rise of Skywalker,86.0,52.0,57.049,6.5,7204.0
Room for Rent,55.0,88.0,5.932,6.4,51.0
Room for Rent,55.0,88.0,1.437,6.5,6.0
Five Seasons: The Gardens of Piet Oudolf,67.0,81.0,0.856,0.0,0.0
Wildlife,72.0,94.0,12.141,6.7,509.0
House of Gucci,83.0,62.0,250.666,7.0,275.0
Vinyl Nation,84.0,100.0,,,
Don't Be Nice,86.0,91.0,,,
The Quiet One,92.0,64.0,2.96,6.6,8.0
Barbara,40.0,84.0,5.52,5.9,79.0
Eat That Question: Frank Zappa in His Own Words,73.0,92.0,1.77,8.0,13.0
The Wedding,89.0,40.0,1.123,6.6,5.0
The Wedding,89.0,40.0,0.636,3.0,1.0
Dog,89.0,77.0,1.517,7.9,10.0
Dog,89.0,77.0,2.201,4.6,22.0
Dog,89.0,77.0,196.413,7.6,143.0
The Ballad of Buster Scruggs,78.0,89.0,20.004,7.2,3030.0
Mind Game,93.0,100.0,,,
Don't Think Twice,69.0,98.0,9.051,6.4,306.0
Victoria,83.0,82.0,0.6,0.0,0.0
Victoria,83.0,82.0,10.801,7.7,900.0
Victoria,83.0,82.0,0.6,5.0,1.0
The Obituary of Tunde Johnson,54.0,89.0,3.582,7.5,6.0
The Other Side of Heaven 2: Fire of Faith,95.0,71.0,,,
Western Stars,91.0,94.0,5.353,7.0,35.0
Bill & Ted Face the Music,65.0,82.0,18.486,6.1,530.0
Detective Knight: Redemption,93.0,67.0,,,
After Midnight,48.0,90.0,10.542,5.7,64.0
Dora and the Lost City of Gold,88.0,85.0,51.786,6.8,1309.0
All the Beauty and the Bloodshed,53.0,95.0,,,
Operation Curveball,100.0,67.0,,,
Volition,69.0,88.0,6.404,5.4,25.0
Office,48.0,87.0,1.282,5.9,18.0
Office,48.0,87.0,3.869,6.4,54.0
The Beta Test,61.0,92.0,20.942,5.9,15.0
The Invisible Man,88.0,92.0,2.186,5.0,3.0
The Invisible Man,88.0,92.0,34.133,7.2,4145.0
Who We Are: A Chronicle of Racism in America,52.0,98.0,2.686,0.0,0.0
The Reports on Sarah and Saleem,84.0,94.0,2.332,7.1,33.0
Spencer,52.0,83.0,52.974,7.4,20.0
Dragon Ball Super: Broly,92.0,82.0,64.119,7.8,2091.0
The Wanting Mare,40.0,81.0,1.539,7.2,5.0
Moss,89.0,75.0,1.642,5.0,3.0
John Wick: Chapter 2,85.0,89.0,93.745,7.3,9627.0
Mogul Mowgli,75.0,93.0,4.124,6.8,13.0
Active Measures,85.0,81.0,3.231,7.8,18.0
Hondros,86.0,100.0,4.15,7.9,15.0
"Quo Vadis, Aida?",89.0,100.0,,,
Elstree 1976,40.0,81.0,2.08,6.2,32.0
Swim Team,80.0,100.0,3.629,7.5,6.0
The Silencing,90.0,17.0,14.109,6.6,332.0
Kajaki,82.0,100.0,,,
The Worst Person in the World,86.0,96.0,10.401,7.1,56.0
The Weasel's Tale,75.0,92.0,5.879,7.9,82.0
The Square,71.0,85.0,12.725,6.8,1061.0
Fast Color,58.0,81.0,6.604,5.9,137.0
Jersey,92.0,63.0,2.688,7.9,31.0
Wyrm,72.0,89.0,3.523,7.7,3.0
Wyrm,72.0,89.0,0.6,7.0,3.0
Sorry Angel,65.0,83.0,7.947,6.9,163.0
"Josee, The Tiger and the Fish",97.0,100.0,,,
The Look of Silence,89.0,96.0,,,
The Miracle Season,83.0,52.0,16.515,7.4,230.0
It Follows,66.0,95.0,,,
Cosmos,47.0,81.0,2.99,6.9,63.0
Cosmos,47.0,81.0,3.208,5.9,41.0
The Gift,75.0,91.0,11.511,6.7,2562.0
The Gift,75.0,91.0,0.649,6.0,1.0
The Gift,75.0,91.0,0.87,0.0,0.0
The Gift,75.0,91.0,0.6,0.0,0.0
The Gift,75.0,91.0,0.838,0.0,0.0
The Gift,75.0,91.0,0.6,0.0,0.0
The Gift,75.0,91.0,1.508,10.0,1.0
1-800-Hot-Nite,80.0,82.0,,,
21 Bridges,91.0,54.0,22.699,6.8,1396.0
The Courier,95.0,85.0,19.567,6.2,414.0
The Courier,95.0,85.0,177.831,7.2,462.0
Raiders!,78.0,91.0,,,
"The Night Is Short, Walk On Girl",88.0,90.0,,,
Stop-Zemlia,71.0,89.0,3.354,0.0,0.0
Finding Ophelia,88.0,46.0,,,
The Painter and the Thief,86.0,97.0,3.128,7.4,19.0
Game Night,77.0,85.0,21.176,6.8,4570.0
Hannah,58.0,82.0,3.664,5.8,45.0
Freaky,80.0,83.0,30.015,6.8,855.0
K.G.F: Chapter 2,94.0,46.0,,,
Hansan: Rising Dragon,88.0,70.0,,,
Vita Activa: The Spirit of Hannah Arendt,80.0,94.0,,,
Hitchcock/Truffaut,76.0,96.0,7.224,7.4,167.0
Always Shine,52.0,90.0,7.352,5.4,92.0
This Giant Papier-Mâché Boulder Is Actually Really Heavy,83.0,86.0,,,
Supersonic,87.0,84.0,7.367,7.5,158.0
Paper & Glue,100.0,90.0,31.067,0.0,0.0
The Third Wife,67.0,88.0,3.121,6.7,44.0
Gayby Baby,79.0,89.0,,,
The Sky Is Pink,91.0,73.0,3.531,7.8,46.0
Clouds of Sils Maria,65.0,91.0,,,
Don't Breathe,79.0,88.0,49.814,7.0,5750.0
Leonor Will Never Die,88.0,91.0,2.313,0.0,0.0
Sweat,69.0,98.0,59.278,6.8,22.0
Infinitum: Subject Unknown,90.0,75.0,5.461,7.5,2.0
¿Y Cómo Es Él?,81.0,60.0,,,
Floyd Norman: An Animated Life,75.0,94.0,4.486,7.0,23.0
Faith Based,58.0,94.0,3.789,5.4,6.0
The Promise,92.0,51.0,0.6,0.0,0.0
The Promise,92.0,51.0,1.919,7.2,26.0
The Promise,92.0,51.0,13.154,7.0,316.0
The Promise,92.0,51.0,0.636,0.0,0.0
Naples in Veils,32.0,86.0,4.852,6.2,384.0
Theo & Hugo,82.0,92.0,,,
Queen of Katwe,86.0,94.0,12.695,7.3,340.0
Hatching,61.0,92.0,9.343,0.0,0.0
The Grief of Others,54.0,92.0,2.476,7.2,10.0
Lady Macbeth,71.0,88.0,20.709,6.6,549.0
Monuments,98.0,80.0,2.204,6.0,1.0
Yellow Rose,76.0,87.0,5.004,6.8,13.0
Grass,65.0,92.0,2.982,6.5,34.0
Held for Ransom,73.0,100.0,,,
Rat Film,59.0,90.0,2.88,7.0,21.0
Mandy,67.0,90.0,15.376,6.2,1342.0
Murder in the Woods,62.0,82.0,,,
The Return of Tanya Tucker: Featuring Brandi Carlile,94.0,92.0,,,
The Yes Men Are Revolting,55.0,81.0,,,
Oh Lucy!,82.0,98.0,5.234,6.9,74.0
Four Hands,33.0,83.0,1.545,5.5,17.0
A Simple Wedding,70.0,85.0,3.457,5.1,8.0
The LEGO Movie 2: The Second Part,68.0,84.0,,,
Khuda Haafiz: Chapter 2 - Agni Pariksha,88.0,17.0,,,
Runway 34,88.0,50.0,,,
Ghostbox Cowboy,50.0,91.0,2.269,6.8,5.0
The Scent of Rain & Lightning,83.0,100.0,,,
Charm City,90.0,100.0,2.72,9.0,1.0
Those Who Walk Away,93.0,33.0,8.943,5.1,5.0
Hotel Mumbai,87.0,77.0,20.239,7.6,1079.0
My Tender Matador,75.0,100.0,2.59,7.6,26.0
Columbus,80.0,96.0,10.035,7.0,243.0
Columbus,80.0,96.0,0.646,6.0,1.0
Detective Knight: Independence,88.0,67.0,,,
Appropriate Behavior,64.0,95.0,,,
Buried: The 1982 Alpine Meadows Avalanche,97.0,100.0,,,
The 24 Hour War,86.0,100.0,6.054,7.2,40.0
Unplanned,94.0,42.0,9.65,7.2,162.0
When Marnie Was There,88.0,92.0,,,
Bodies Bodies Bodies,69.0,86.0,7.526,10.0,1.0
Court,79.0,98.0,,,
Lost Holiday,91.0,42.0,1.801,4.0,5.0
Enforcement,79.0,83.0,7.799,6.1,62.0
A Faithful Man,56.0,81.0,6.839,5.5,206.0
Experimenter,61.0,86.0,6.458,6.5,357.0
Glass Onion: A Knives Out Mystery,92.0,92.0,,,
Sputnik,72.0,88.0,43.539,6.5,409.0
A Sinner in Mecca,36.0,86.0,2.971,7.0,8.0
Zombi Child,53.0,86.0,7.973,6.3,95.0
The Eyes of Orson Welles,79.0,93.0,2.635,7.8,21.0
The Pathological Optimist,88.0,60.0,,,
Father Stu,95.0,41.0,15.953,0.0,0.0
LA 92,93.0,97.0,9.933,7.9,84.0
Nigerian Prince,67.0,100.0,3.456,5.3,7.0
The Novelist's Film,67.0,100.0,2.193,0.0,0.0
No Bears,90.0,100.0,,,
Charlotte,88.0,71.0,2.256,5.8,5.0
Charlotte,88.0,71.0,1.4,0.0,0.0
Charlotte,88.0,71.0,1.4,0.0,0.0
The Work,86.0,100.0,3.634,7.8,22.0
No Ordinary Man,60.0,94.0,,,
